HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
100.362,43,26,202.119,7,7,4,7,7,4,0
101.623,60,27,285.293,9,9,7,9,9,7,0
106.09,44,27,209.215,8,8,5,8,8,5,0
107.541,54,28,259.597,11,11,9,11,11,9,0
107.748,35,27,166.421,10,10,3,10,10,3,0
109.24,48,28,230.753,10,10,7,10,10,7,0
110.439,62,28,298.056,12,12,10,12,12,10,1
111.89,41,28,197.102,11,11,4,11,11,4,0
113.112,61,29,296.337,21,21,11,21,21,11,0
113.112,41,29,199.177,9,9,6,13,13,7,0
113.93,57,29,276.905,11,11,9,11,11,9,1
113.93,61,29,296.337,15,16,8,15,16,8,1
113.93,81,29,393.496,13,13,9,13,13,9,1
116.239,58,29,281.763,10,10,6,10,10,6,1
116.239,57,29,276.905,13,13,8,13,13,8,1
116.239,57,29,276.905,13,13,8,13,13,8,1
116.239,64,29,310.911,14,14,9,14,14,9,1
118.078,63,30,309.134,11,11,8,11,11,8,0
118.078,63,30,309.134,10,10,8,10,10,8,1
118.078,43,30,210.996,9,9,6,13,13,7,1
118.764,55,30,269.879,10,12,4,10,12,4,0
119.658,70,30,343.482,21,21,11,21,21,11,1
122.107,51,30,250.251,10,13,7,14,17,8,1
122.107,65,30,318.948,12,12,7,12,12,7,0
122.107,65,30,318.948,12,12,7,12,12,7,0
123.73,51,31,252.664,7,7,5,7,7,5,0
124.492,56,31,277.435,12,13,7,12,13,7,0
124.492,56,31,277.435,12,13,7,12,13,7,1
124.492,57,31,282.389,12,13,7,12,13,7,0
128.0,69,32,345.0,17,17,10,17,17,10,0
129.691,66,31,326.977,15,15,9,15,15,9,1
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,3,3,1,3,3,1,0
131.327,67,32,335.0,19,19,7,19,19,7,0
132.571,61,32,305.0,12,12,7,12,12,7,1
134.014,92,33,464.084,14,14,13,14,14,13,0
136.161,51,33,257.264,7,8,6,7,8,6,1
140.096,52,33,262.309,10,10,6,10,10,6,1
140.096,52,33,262.309,10,10,6,10,10,6,1
141.127,61,34,310.335,10,10,7,10,10,7,0
147.061,55,35,282.111,14,14,7,14,14,7,0
149.316,55,35,282.111,13,13,7,13,13,7,0
150.439,91,36,470.463,15,15,14,15,15,14,1
150.741,60,35,307.757,13,13,8,13,13,8,1
155.431,63,36,325.705,13,14,10,13,14,10,1
157.345,79,37,411.547,12,13,8,12,13,8,0
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,1
160.265,81,37,421.966,19,22,13,19,22,13,1
164.202,58,38,304.38,13,13,7,13,13,7,1
165.231,88,38,461.818,16,16,10,16,16,10,0
165.231,89,38,467.066,16,16,10,16,16,10,1
165.231,80,38,419.834,12,12,8,12,12,8,1
165.231,84,38,440.826,13,13,9,13,13,9,1
166.436,78,38,409.338,14,15,11,14,15,11,0
167.825,91,38,477.561,23,24,14,23,24,14,0
17.5098,8,8,24.0,3,3,1,3,3,1,0
171.402,82,39,433.403,16,16,10,16,16,10,0
171.402,96,39,507.399,20,23,14,20,23,14,0
171.402,87,39,459.83,13,13,9,13,13,9,0
172.66,78,39,412.261,14,14,8,14,14,8,1
177.625,77,40,409.788,9,10,7,9,10,7,0
178.677,111,41,594.688,13,16,17,13,16,17,0
178.935,57,40,303.35,10,12,7,10,12,7,1
181.685,94,41,503.61,13,14,11,13,14,11,1
181.685,95,41,508.967,16,17,11,16,17,11,0
184.753,102,42,550.016,24,24,15,24,24,15,1
188.529,79,41,423.247,19,19,11,19,19,11,1
192.382,87,43,472.085,19,21,13,19,21,13,1
196.6,103,43,558.905,17,18,15,17,18,15,1
20.2647,9,9,28.5293,3,3,1,3,3,1,1
200.51,90,44,491.349,13,14,9,13,14,9,1
201.686,99,44,540.484,20,22,13,20,22,13,0
204.093,159,45,873.205,23,27,17,23,27,17,0
204.093,159,45,873.205,22,26,17,22,26,17,1
204.881,98,45,538.202,22,24,15,22,24,15,0
208.106,100,45,549.185,21,23,13,21,23,13,1
214.204,113,47,627.669,24,26,15,24,26,15,0
220.621,129,48,720.46,17,21,17,17,21,17,1
224.0,118,48,659.026,25,27,16,25,27,16,0
227.631,99,48,552.911,20,20,13,20,20,13,0
227.917,110,49,617.618,13,17,11,13,17,11,0
234.291,113,50,637.756,13,17,11,13,17,11,1
235.769,107,49,600.774,23,23,14,23,23,14,0
238.128,120,50,677.263,21,22,18,27,28,21,1
