HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
100.239,38,25,176.467,6,6,2,14,14,7,1
100.239,46,25,213.617,12,12,6,12,12,6,1
100.239,47,25,218.261,8,8,4,8,8,4,1
100.362,40,26,188.018,8,8,4,8,8,4,0
100.362,44,26,206.819,10,10,5,10,10,5,0
100.362,45,26,211.52,8,10,4,8,10,4,0
100.362,45,26,211.52,8,10,4,8,10,4,0
100.362,45,26,211.52,8,10,4,8,10,4,0
100.362,46,26,216.22,9,9,6,9,9,6,0
100.362,46,26,216.22,9,9,6,9,9,6,0
101.623,77,27,366.126,14,18,9,14,18,9,0
101.623,53,27,252.009,9,10,6,9,10,6,0
101.948,40,26,188.018,9,9,4,9,9,4,0
101.948,45,26,211.52,11,13,6,11,13,6,0
101.948,47,26,220.921,9,9,5,9,9,5,0
102.054,48,27,228.235,8,8,3,8,8,3,1
102.054,48,27,228.235,8,8,3,8,8,3,1
102.054,54,27,256.764,8,8,5,8,8,5,1
102.706,63,27,299.558,9,9,6,9,9,6,1
103.588,40,27,190.195,9,9,5,9,9,5,0
103.588,47,27,223.48,12,12,6,12,12,6,0
103.588,97,27,461.224,14,18,12,14,18,12,1
104.711,39,27,185.441,7,8,3,7,8,3,0
104.711,76,27,361.371,12,17,8,12,17,8,1
106.09,54,27,256.764,10,14,6,10,14,6,0
106.09,55,27,261.519,10,11,7,10,11,7,1
106.709,48,28,230.753,9,9,1,9,9,1,1
107.02,68,28,326.9,8,12,6,8,12,6,0
107.541,43,28,206.716,8,8,2,8,8,2,0
107.541,60,28,288.441,9,11,6,9,11,6,1
107.748,44,27,209.215,10,11,5,10,11,5,0
107.748,56,27,266.274,9,10,5,9,10,5,0
108.278,51,28,245.175,13,13,5,13,13,5,0
109.24,44,28,211.524,8,8,4,8,8,4,0
109.24,75,28,360.552,16,25,11,16,25,11,1
109.24,75,28,360.552,16,25,11,16,25,11,1
109.717,49,27,232.989,9,11,5,9,11,5,1
109.717,49,27,232.989,9,11,5,9,11,5,1
