HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,35,27,166.421,9,9,4,9,9,4,0
103.848,48,26,225.621,13,13,6,13,13,6,1
106.709,36,28,173.065,9,9,4,9,9,4,0
107.02,42,28,201.909,9,9,4,9,9,4,1
107.541,52,28,249.982,7,7,4,7,7,4,0
111.906,43,29,208.893,12,12,3,12,12,3,0
114.968,53,29,257.473,9,10,5,9,10,5,1
116.239,66,29,320.627,12,12,11,12,12,11,1
123.164,66,31,326.977,9,9,8,9,9,8,1
123.164,44,31,217.985,14,14,4,14,14,4,0
124.492,51,31,252.664,17,19,8,17,19,8,1
13.6096,7,7,19.6515,3,3,1,3,3,1,1
13.6096,7,7,19.6515,2,2,1,2,2,1,0
13.6096,7,7,19.6515,2,2,1,2,2,1,0
130.292,62,32,310.0,13,26,8,13,26,8,1
130.292,69,32,345.0,10,12,7,10,12,7,1
134.039,58,32,290.0,9,10,5,9,10,5,1
136.161,52,33,262.309,19,20,5,19,20,5,0
140.344,68,34,345.947,13,16,9,13,16,9,1
143.258,74,34,376.472,14,14,9,14,14,9,1
144.546,86,35,441.118,16,16,11,16,16,11,1
144.711,61,35,312.886,9,9,10,9,9,10,1
145.042,64,35,328.274,13,14,5,13,14,5,0
145.542,61,35,312.886,12,15,10,12,15,10,1
146.211,62,34,315.423,9,10,5,9,10,5,0
146.213,53,35,271.852,14,14,4,14,14,4,0
147.061,75,35,384.696,11,11,7,11,11,7,1
154.15,65,36,336.045,15,23,8,15,23,8,1
155.769,60,37,312.567,19,24,5,19,24,5,1
165.231,82,38,430.33,20,21,12,20,21,12,1
174.7,87,40,463.008,20,22,11,20,22,11,1
186.985,75,42,404.424,15,15,7,15,15,7,1
190.75,103,43,558.905,19,26,14,19,26,14,1
196.807,88,44,480.43,14,17,9,14,17,9,1
198.606,83,44,453.133,12,15,9,12,15,9,1
20.2647,9,9,28.5293,4,5,1,4,5,1,1
20.2647,10,9,31.6992,4,4,1,4,4,1,0
20.2647,10,9,31.6992,4,4,1,4,4,1,1
202.922,111,45,609.596,19,26,14,19,26,14,0
204.881,110,45,604.104,24,29,18,24,29,18,1
215.94,105,47,583.232,21,22,14,21,22,14,1
217.58,108,47,599.896,19,19,15,19,19,15,1
220.319,137,48,765.14,24,26,15,24,26,15,1
221.044,111,48,619.931,19,21,14,19,21,14,1
234.291,138,50,778.852,33,34,24,33,34,24,1
24.4064,29,10,96.3359,7,7,5,7,7,5,1
24.4064,12,10,39.8631,1,1,1,1,1,1,1
24.4064,12,10,39.8631,1,1,1,1,1,1,1
257.622,200,54,1150.98,28,30,10,28,30,10,0
270.507,144,56,836.259,22,23,15,22,23,15,1
28.7549,13,11,44.9726,4,4,1,4,4,1,1
28.7549,13,11,44.9726,4,4,1,4,4,1,1
282.364,138,57,804.939,20,24,16,20,24,16,1
31.0195,20,12,71.6992,7,7,1,7,7,1,0
31.2611,14,12,50.1895,5,5,2,5,5,2,1
310.173,137,62,815.725,23,29,17,23,29,17,1
32.0,30,12,107.549,7,7,5,7,7,5,1
35.1613,37,13,136.916,6,7,4,6,7,4,1
35.2193,15,12,53.7744,4,4,2,4,4,2,1
36.5293,16,13,59.207,6,6,1,6,6,1,0
36.5293,16,13,59.207,6,6,1,6,6,1,0
36.5293,16,13,59.207,6,6,1,6,6,1,0
37.9742,21,13,77.7092,4,4,1,4,4,1,0
40.139,19,14,72.3397,3,3,1,3,3,1,1
40.139,19,14,72.3397,3,3,1,3,3,1,1
40.139,22,14,83.7618,4,4,2,4,4,2,0
40.139,17,14,64.725,3,4,1,3,4,1,1
41.2193,22,14,83.7618,4,4,1,4,4,1,0
42.8086,14,14,53.303,5,5,1,5,5,1,0
42.8086,15,14,57.1103,4,4,1,4,4,1,1
44.8289,20,15,78.1378,6,6,1,6,6,1,0
44.8289,20,15,78.1378,6,6,1,6,6,1,0
44.8289,20,15,78.1378,5,5,4,5,5,4,1
47.7744,20,15,78.1378,4,4,2,4,4,2,0
48.1808,25,16,100.0,3,3,1,3,3,1,1
51.0195,22,16,88.0,6,6,3,6,6,3,0
52.8606,20,16,80.0,3,3,1,3,3,1,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
54.6292,20,17,81.7493,6,6,3,6,6,3,0
57.0587,27,18,112.588,6,6,3,6,6,3,1
58.0579,23,17,94.0117,6,6,3,6,6,3,1
58.5293,21,18,87.5684,6,6,3,6,6,3,0
61.303,31,18,129.268,7,7,4,11,11,5,1
62.671,28,19,118.942,6,6,5,6,6,5,1
63.6155,26,19,110.446,7,7,2,7,7,2,1
64.9126,27,19,114.694,7,8,3,7,8,3,1
64.9126,29,19,123.19,6,6,3,6,6,3,1
72.1057,34,21,149.339,8,8,3,8,8,3,1
72.9545,25,21,109.808,6,6,1,6,6,1,0
76.2388,34,22,151.621,3,3,1,3,3,1,0
77.303,26,22,115.945,6,6,1,6,6,1,0
81.8323,36,23,162.848,7,7,3,7,7,3,0
88.0,46,24,210.908,10,11,6,10,11,6,1
90.5684,45,24,206.323,7,10,4,7,10,4,1
91.1253,32,25,148.603,8,8,4,8,8,4,0
91.8226,49,25,227.549,8,11,6,8,11,6,1
96.2114,33,26,155.115,8,8,4,8,8,4,0
96.3225,43,26,202.119,13,15,4,13,15,4,0
96.6571,49,26,230.322,11,13,7,11,13,7,0
96.6571,37,26,173.916,9,9,3,9,9,3,1
97.2193,58,26,272.626,9,12,7,9,12,7,0
300.436,173,59,1017.7,34,37,4,34,37,4,0
187.909,69,42,372.07,25,30,5,25,30,5,1
176.488,60,40,319.316,21,21,4,21,21,4,0
142.096,57,34,289.985,22,22,4,22,22,4,1
220.319,107,48,597.591,21,21,13,21,21,13,1
168.642,62,39,327.695,18,19,7,18,19,7,0
162.645,60,38,314.876,17,18,7,17,18,7,0
146.213,50,35,256.464,16,16,4,16,16,4,0
175.514,65,40,345.925,23,28,5,23,28,5,1
111.906,61,29,296.337,14,16,4,14,16,4,0
110.439,57,28,274.019,11,13,7,39,48,14,1
100.362,49,26,230.322,10,12,6,38,47,13,1
92.5293,36,25,167.179,11,11,2,11,11,2,0
101.623,38,27,180.686,9,11,5,9,11,5,0
117.593,45,30,220.81,12,14,6,12,14,6,0
13.6096,7,7,19.6515,4,4,1,4,4,1,1
13.6096,7,7,19.6515,4,4,1,4,4,1,1
131.327,66,32,330.0,9,16,6,9,16,6,0
109.24,48,28,230.753,14,14,7,14,14,7,0
249.012,118,52,672.652,25,26,14,25,26,14,0
277.632,134,57,781.607,20,21,14,20,21,14,1
277.632,134,57,781.607,20,21,14,20,21,14,1
307.907,165,62,982.442,29,30,15,29,30,15,0
128.816,45,32,225.0,14,14,4,14,14,4,0
134.544,46,33,232.042,14,14,4,14,14,4,0
150.842,56,36,289.516,15,16,7,15,16,7,0
140.344,49,34,249.286,16,16,4,16,16,4,0
