HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,1,1,0,1,1,0,0
100.362,37,26,173.916,10,10,4,10,10,4,1
100.362,43,26,202.119,12,12,5,12,12,5,1
100.362,44,26,206.819,14,15,6,14,15,6,1
100.362,54,26,253.824,11,13,7,11,13,7,1
100.362,43,26,202.119,13,13,10,13,13,10,1
101.623,67,27,318.577,15,15,7,15,15,7,1
101.948,50,26,235.022,13,13,6,13,13,6,0
101.948,67,26,314.929,13,13,6,13,13,6,1
101.948,60,26,282.026,13,13,7,13,13,7,1
102.054,53,27,252.009,18,18,6,18,18,6,0
102.054,67,27,318.577,18,18,11,18,18,11,1
102.054,67,27,318.577,20,20,9,20,20,9,1
102.706,37,27,175.931,9,9,4,9,9,4,1
102.706,52,27,247.254,13,13,5,13,13,5,0
103.588,52,27,247.254,18,19,9,18,19,9,0
103.588,46,27,218.725,10,10,9,10,10,9,0
103.588,56,27,266.274,13,13,5,13,13,5,0
103.588,60,27,285.293,20,22,11,20,22,11,1
103.588,60,27,285.293,17,17,5,17,17,5,1
103.848,48,26,225.621,16,16,6,16,16,6,0
104.711,47,27,223.48,16,16,4,16,16,4,1
104.711,57,27,271.029,21,21,8,25,25,9,0
104.711,57,27,271.029,14,14,5,14,14,5,0
104.711,62,27,294.803,10,10,5,10,10,5,1
106.09,49,27,232.989,8,8,5,8,8,5,1
106.09,61,27,290.048,14,34,6,26,46,10,1
106.09,41,27,194.95,9,9,3,9,9,3,0
106.09,41,27,194.95,9,9,3,9,9,3,0
106.09,55,27,261.519,13,14,8,13,14,8,1
106.09,49,27,232.989,14,15,6,14,15,6,1
106.606,53,28,254.79,12,12,5,12,12,5,1
106.606,53,28,254.79,12,12,5,12,12,5,1
107.748,45,27,213.97,12,12,6,33,34,13,1
108.278,53,28,254.79,14,16,9,14,16,9,0
109.24,47,28,225.946,17,17,6,17,17,6,0
109.24,55,28,264.405,13,13,5,57,57,14,0
109.24,55,28,264.405,11,12,8,11,12,8,0
109.717,53,27,252.009,14,14,6,14,14,6,1
11.6096,7,6,18.0947,3,3,1,3,3,1,0
110.439,53,28,254.79,15,15,8,15,15,8,1
110.439,54,28,259.597,14,14,7,14,14,7,0
110.439,53,28,254.79,13,13,6,13,13,6,1
111.89,49,28,235.56,17,17,8,17,17,8,1
111.89,60,28,288.441,13,13,8,13,13,8,1
111.89,54,28,259.597,10,10,5,10,10,5,0
111.89,67,28,322.093,15,15,8,15,15,8,0
113.112,64,29,310.911,17,18,11,17,18,11,0
113.617,58,28,278.827,14,15,8,14,15,8,0
113.617,125,28,600.919,29,29,17,29,29,17,1
113.93,59,29,286.621,15,15,7,15,15,7,1
113.93,61,29,296.337,16,16,5,16,16,5,0
113.93,61,29,296.337,14,14,5,14,14,5,1
113.93,66,29,320.627,17,18,8,17,18,8,0
114.968,54,29,262.331,7,7,4,7,7,4,0
114.968,53,29,257.473,19,19,9,24,24,11,1
114.968,54,29,262.331,18,18,9,23,23,11,0
114.968,59,29,286.621,19,19,10,24,24,12,1
114.968,61,29,296.337,22,22,7,22,22,7,0
114.968,64,29,310.911,18,18,6,18,18,6,1
114.968,81,29,393.496,19,19,12,19,19,12,1
115.652,64,28,307.671,11,11,5,11,11,5,0
116.239,51,29,247.757,15,16,7,15,16,7,0
116.239,51,29,247.757,15,16,7,15,16,7,1
116.239,57,29,276.905,11,11,9,11,11,9,1
117.593,67,30,328.762,12,12,7,12,12,7,1
117.593,67,30,328.762,14,14,7,14,14,7,0
117.593,52,30,255.158,16,16,8,16,16,8,0
117.593,88,30,431.806,24,24,14,24,24,14,1
117.759,69,29,335.201,23,27,7,88,95,25,1
118.078,73,30,358.203,17,17,8,17,17,8,1
118.078,73,30,358.203,17,17,8,17,17,8,1
118.078,85,30,417.086,24,24,10,24,24,10,0
118.078,100,30,490.689,20,26,13,20,26,13,1
118.764,67,30,328.762,10,10,7,10,10,7,0
119.552,73,29,354.633,13,13,8,15,15,8,1
119.658,71,30,348.389,13,13,9,13,13,9,0
119.658,72,30,353.296,19,19,7,19,19,7,0
119.658,72,30,353.296,18,19,8,18,19,8,0
121.649,65,29,315.769,8,8,5,8,8,5,0
122.107,53,30,260.065,16,21,6,16,21,6,1
122.107,71,30,348.389,16,16,9,16,16,9,1
122.107,292,30,1432.81,60,78,34,60,78,34,1
122.79,68,31,336.885,16,16,7,16,16,7,1
122.79,68,31,336.885,16,16,7,16,16,7,1
122.79,57,31,282.389,12,12,5,12,12,5,0
122.79,57,31,282.389,12,12,5,12,12,5,0
123.164,65,31,322.023,17,17,8,17,17,8,0
123.164,48,31,237.801,12,12,9,12,12,9,1
123.693,63,30,309.134,15,15,8,15,15,8,0
123.73,56,31,277.435,9,9,5,9,9,5,0
123.73,81,31,401.29,24,24,11,24,24,11,0
124.492,64,31,317.069,18,18,10,18,18,10,1
