HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,1
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
