HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
100.362,53,26,249.123,10,10,6,10,10,6,0
101.409,59,27,280.538,9,9,6,9,9,6,0
101.948,50,26,235.022,8,8,6,8,8,6,0
103.848,49,26,230.322,8,8,6,8,8,6,0
104.711,36,27,171.176,8,9,3,8,9,3,1
109.24,51,28,245.175,13,13,8,13,13,8,0
11.6096,6,6,15.5098,3,3,0,3,3,0,0
110.439,43,28,206.716,14,15,5,14,15,5,1
117.303,47,30,230.624,5,5,1,5,5,1,0
117.759,50,29,242.899,7,7,4,7,7,4,1
121.649,40,29,194.319,7,7,3,7,7,3,1
122.107,46,30,225.717,14,14,8,14,14,8,1
122.107,47,30,230.624,4,4,4,4,4,4,1
127.706,47,30,230.624,11,11,7,11,11,7,1
128.042,45,31,222.939,9,10,4,9,10,4,1
129.691,50,31,247.71,7,9,4,7,9,4,1
129.691,52,31,257.618,8,8,5,8,8,5,1
129.691,49,31,242.756,9,9,5,9,9,5,1
129.691,54,31,267.527,15,15,7,15,15,7,1
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,3,3,1,3,3,1,0
130.292,62,32,310.0,8,9,4,8,9,4,1
131.606,53,31,262.572,16,16,8,16,16,8,1
137.721,49,32,245.0,12,13,5,12,13,5,1
137.721,56,32,280.0,16,16,8,16,16,8,0
139.992,59,32,295.0,10,12,6,10,12,6,0
139.992,59,32,295.0,10,12,6,10,12,6,1
146.211,48,34,244.198,10,10,4,10,10,4,1
149.316,61,35,312.886,9,9,6,9,9,6,0
15.5098,7,7,19.6515,4,4,1,4,4,1,0
154.15,58,36,299.856,8,10,5,8,10,5,1
158.606,54,36,279.176,15,15,7,15,15,7,0
16.3645,10,8,30.0,3,3,1,3,3,1,0
16.3645,10,8,30.0,3,3,1,3,3,1,0
16.3645,10,8,30.0,3,3,1,3,3,1,1
160.533,57,36,294.686,7,7,6,7,7,6,1
167.825,69,38,362.107,9,9,6,9,9,6,1
17.5098,8,8,24.0,3,4,0,3,4,0,0
17.5098,9,8,27.0,3,3,1,3,3,1,0
19.6515,9,8,27.0,3,3,1,3,3,1,1
21.6515,9,9,28.5293,4,4,1,4,4,1,0
21.6515,11,9,34.8692,3,3,1,3,3,1,1
23.5098,11,10,36.5412,3,3,1,3,3,1,1
24.0,10,9,31.6992,3,3,1,3,3,1,1
24.0,10,9,31.6992,3,3,1,3,3,1,0
24.4064,11,10,36.5412,3,3,1,3,3,1,1
24.4064,12,10,39.8631,3,3,1,3,3,1,1
26.0,10,10,33.2193,3,3,1,3,3,1,0
26.0,10,10,33.2193,3,3,1,3,3,1,0
26.0,12,10,39.8631,4,4,1,4,4,1,0
28.7549,11,11,38.0537,4,4,1,4,4,1,0
28.7549,13,11,44.9726,4,4,1,4,4,1,0
30.5293,13,11,44.9726,4,4,1,4,4,1,0
30.5293,13,11,44.9726,4,4,1,4,4,1,0
30.5293,13,11,44.9726,4,4,1,4,4,1,0
30.5293,16,11,55.3509,5,5,1,15,16,4,0
30.5293,12,11,41.5132,3,3,1,3,3,1,1
30.5293,13,11,44.9726,3,3,1,3,3,1,0
32.0,12,12,43.0195,4,4,1,4,4,1,0
32.0,12,12,43.0195,4,4,1,4,4,1,0
32.0,13,12,46.6045,4,4,1,4,4,1,0
33.2842,14,12,50.1895,4,4,1,4,4,1,1
35.2193,12,12,43.0195,4,4,1,4,4,1,0
35.2193,12,12,43.0195,3,3,1,3,3,1,0
35.2193,13,12,46.6045,4,4,1,4,4,1,0
35.2193,13,12,46.6045,4,4,1,4,4,1,0
35.2193,15,12,53.7744,4,4,1,10,11,3,1
35.6096,13,13,48.1057,4,4,1,4,4,1,1
37.9742,14,13,51.8062,4,4,1,4,4,1,0
37.9742,14,13,51.8062,4,4,1,4,4,1,0
37.9742,14,13,51.8062,4,4,1,4,4,1,1
37.9742,15,13,55.5066,3,3,1,3,3,1,1
4.75489,4,4,8.0,3,3,0,3,3,0,0
4.75489,4,4,8.0,2,2,0,2,2,0,0
4.75489,4,4,8.0,2,3,0,2,3,0,1
40.0537,14,13,51.8062,4,4,1,8,8,2,1
41.2193,14,14,53.303,4,4,1,4,4,1,1
42.8086,17,14,64.725,5,5,2,5,5,2,0
42.8086,17,14,64.725,5,5,3,5,5,3,0
44.8289,20,15,78.1378,4,4,2,4,4,2,1
45.0195,18,14,68.5324,5,5,2,5,5,2,1
45.0195,14,14,53.303,4,4,1,4,4,1,0
45.0195,14,14,53.303,4,4,1,4,4,1,0
45.0195,16,14,60.9177,3,3,1,3,3,1,0
45.0195,18,14,68.5324,4,4,1,12,13,4,1
46.0537,17,15,66.4171,6,6,2,6,6,2,0
46.0537,17,15,66.4171,5,5,2,5,5,2,0
46.0537,18,15,70.324,5,5,1,14,15,4,1
46.0537,17,15,66.4171,4,4,2,4,4,2,1
46.0537,18,15,70.324,3,3,1,3,3,1,1
47.7744,15,15,58.6034,4,4,1,4,4,1,0
47.7744,15,15,58.6034,4,4,1,4,4,1,0
48.1057,18,14,68.5324,5,5,1,5,5,1,1
48.7291,17,16,68.0,3,3,1,3,3,1,0
49.6634,19,16,76.0,3,3,1,3,3,1,0
