HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,0
100.239,47,25,218.261,8,9,5,8,9,5,0
100.239,43,25,199.686,9,11,5,9,11,5,0
100.362,42,26,197.418,7,9,4,7,9,4,1
100.362,43,26,202.119,6,6,4,6,6,4,0
100.362,43,26,202.119,6,6,4,6,6,4,0
101.948,47,26,220.921,15,17,8,15,17,8,1
102.054,50,27,237.744,7,7,5,7,7,5,0
102.706,56,27,266.274,5,6,3,5,6,3,0
102.706,70,27,332.842,7,7,5,7,7,5,0
102.706,69,27,328.087,16,17,9,16,17,9,0
102.706,70,27,332.842,10,13,7,10,13,7,1
102.862,105,25,487.605,26,26,15,26,26,15,0
103.588,74,27,351.862,18,24,11,18,24,11,1
103.588,54,27,256.764,16,18,8,16,18,8,0
103.848,40,26,188.018,5,6,2,5,6,2,0
104.711,53,27,252.009,8,10,5,8,10,5,0
104.711,55,27,261.519,16,18,8,16,18,8,1
106.09,38,27,180.686,7,8,3,7,8,3,1
106.09,42,27,199.705,10,12,6,10,12,6,1
106.09,55,27,261.519,10,12,6,10,12,6,0
107.02,54,28,259.597,8,8,6,8,8,6,1
107.02,54,28,259.597,3,3,1,3,3,1,0
107.748,46,27,218.725,6,8,3,6,8,3,1
108.278,60,28,288.441,8,10,5,8,10,5,1
108.278,59,28,283.634,15,16,9,15,16,9,0
108.278,80,28,384.588,20,25,12,20,25,12,0
109.24,46,28,221.138,8,9,4,8,9,4,1
109.24,62,28,298.056,11,13,6,11,13,6,1
109.24,77,28,370.166,18,24,11,18,24,11,1
110.439,63,28,302.863,13,15,7,13,15,7,1
111.89,81,28,389.396,16,18,9,16,18,9,1
113.617,47,28,225.946,9,11,5,9,11,5,1
113.617,47,28,225.946,9,11,5,9,11,5,1
113.617,55,28,264.405,12,16,7,12,16,7,0
113.93,51,29,247.757,13,17,9,13,17,9,0
113.93,77,29,374.065,19,21,11,19,21,11,0
113.93,81,29,393.496,16,17,9,16,17,9,0
114.794,78,27,370.881,14,16,7,14,16,7,1
114.968,51,29,247.757,10,15,7,10,15,7,0
114.968,61,29,296.337,16,18,8,16,18,8,1
114.968,56,29,272.047,10,10,7,10,10,7,0
115.652,63,28,302.863,11,14,7,11,14,7,0
116.239,55,29,267.189,7,9,4,7,9,4,0
116.239,70,29,340.059,18,23,11,18,23,11,1
116.239,56,29,272.047,10,15,7,10,15,7,1
116.239,59,29,286.621,9,13,6,9,13,6,1
116.239,91,29,442.076,19,24,11,19,24,11,0
117.759,50,29,242.899,6,8,3,6,8,3,0
117.759,86,29,417.786,15,15,10,15,15,10,1
118.039,92,28,442.277,33,37,12,33,37,12,1
118.078,54,30,264.972,10,13,6,10,13,6,1
118.078,87,30,426.899,14,17,11,14,17,11,1
118.764,75,30,368.017,10,13,7,10,13,7,0
118.764,75,30,368.017,10,13,7,10,13,7,0
119.552,61,29,296.337,8,10,5,8,10,5,1
119.658,59,30,289.507,10,10,8,10,10,8,0
119.658,92,30,451.434,16,32,10,16,32,10,0
12.7549,10,7,28.0735,3,3,1,3,3,1,0
120.768,61,30,299.32,9,13,6,9,13,6,0
121.649,66,29,320.627,11,14,7,11,14,7,0
122.107,44,30,215.903,9,11,5,9,11,5,0
122.107,55,30,269.879,10,13,6,10,13,6,0
122.107,58,30,284.6,11,12,5,11,12,5,0
122.107,94,30,461.248,17,21,11,17,21,11,0
123.164,57,31,282.389,10,13,6,10,13,6,0
124.096,73,29,354.633,14,18,9,14,18,9,0
124.492,48,31,237.801,11,14,7,11,14,7,1
124.492,66,31,326.977,10,13,7,10,13,7,0
124.492,59,31,292.298,12,14,7,12,14,7,0
125.458,75,31,371.565,12,15,7,12,15,7,1
125.458,89,31,440.923,19,21,11,19,21,11,0
125.549,77,30,377.831,15,20,10,15,20,10,0
126.637,62,31,307.16,9,12,6,9,12,6,0
126.637,78,31,386.427,6,7,3,6,7,3,1
126.637,80,31,396.336,14,18,8,14,18,8,1
128.042,116,31,574.687,23,27,13,23,27,13,0
128.042,92,31,455.786,18,20,11,18,20,11,0
128.042,79,31,391.382,14,18,9,14,18,9,1
128.816,58,32,290.0,11,14,7,11,14,7,1
128.816,103,32,515.0,10,13,10,10,13,10,0
129.691,61,31,302.206,11,11,6,11,11,6,0
13.6096,8,7,22.4588,3,3,1,3,3,1,0
130.292,84,32,420.0,12,15,10,12,15,10,1
134.039,71,32,355.0,14,19,9,14,19,9,0
134.039,75,32,375.0,17,22,11,17,22,11,1
134.039,74,32,370.0,16,19,11,16,19,11,0
136.161,89,33,448.951,14,19,8,14,19,8,0
136.161,75,33,378.33,12,14,9,12,14,9,0
138.568,81,33,408.596,17,23,11,17,23,11,0
138.568,94,33,474.173,15,17,9,15,17,9,1
138.568,83,33,418.685,22,25,13,22,25,13,1
140.096,62,33,312.752,21,25,11,21,25,11,1
140.096,142,33,716.304,26,30,15,26,30,15,0
140.096,142,33,716.304,26,30,15,26,30,15,0
