HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
119.552,51,29,247.757,7,7,4,7,7,4,0
125.549,84,30,412.179,14,15,8,14,15,8,0
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,1
169.411,86,38,451.322,12,12,10,12,12,10,0
17.5098,9,8,27.0,4,4,1,4,4,1,1
20.2647,9,9,28.5293,4,4,1,4,4,1,1
20.2647,9,9,28.5293,4,4,1,4,4,1,1
209.665,175,46,966.623,28,31,20,28,31,20,0
215.317,121,47,672.105,27,31,13,27,31,13,0
225.969,85,47,472.14,17,22,11,21,28,12,1
227.631,93,48,519.401,22,27,14,26,33,15,0
235.059,121,50,682.907,13,19,8,13,19,8,1
235.952,105,50,592.605,17,21,13,17,21,13,1
238.128,134,50,756.277,18,21,16,18,21,16,1
271.764,131,56,760.763,14,20,9,14,20,9,0
28.7549,12,11,41.5132,4,4,1,4,4,1,0
31.2611,13,12,46.6045,4,4,1,4,4,1,0
31.2611,13,12,46.6045,4,4,1,4,4,1,0
31.2611,13,12,46.6045,4,4,1,4,4,1,0
31.2611,13,12,46.6045,4,4,1,4,4,1,0
32.0,15,12,53.7744,4,4,1,4,4,1,0
33.2193,13,11,44.9726,5,5,2,5,5,2,0
361.083,204,70,1250.37,29,33,21,29,33,21,1
47.7744,17,15,66.4171,4,4,1,4,4,1,1
54.6292,34,17,138.974,8,10,6,8,10,6,0
81.325,57,23,257.843,17,19,11,17,19,11,1
83.6515,34,23,153.801,6,6,3,6,6,3,0
85.4655,47,22,209.593,7,7,1,7,7,1,0
89.1384,47,24,215.493,8,8,4,8,8,4,0
93.4869,36,25,167.179,6,6,3,6,6,3,1
94.7101,32,25,148.603,9,10,5,9,10,5,0
94.7101,48,25,222.905,8,11,7,8,11,7,0
345.947,190,68,1156.62,29,37,26,33,41,27,1
112.106,69,29,335.201,16,18,11,16,18,11,1
112.106,69,29,335.201,16,19,11,16,19,11,1
