HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,5,0,4,5,0,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,1
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,7,6,18.0947,4,4,1,4,4,1,1
10.0,7,6,18.0947,4,4,1,4,4,1,0
10.0,8,6,20.6797,4,4,1,4,4,1,1
100.107,48,24,220.078,15,15,5,15,15,5,1
100.239,34,25,157.891,12,12,3,12,12,3,1
100.239,41,25,190.398,13,13,3,13,13,3,1
100.239,47,25,218.261,16,21,6,16,21,6,1
100.362,29,26,136.313,9,12,2,9,12,2,0
100.362,36,26,169.216,8,8,3,8,8,3,0
100.362,41,26,192.718,8,8,4,8,8,4,0
100.362,37,26,173.916,7,12,3,7,12,3,1
100.362,38,26,178.617,8,8,2,29,29,8,0
100.362,41,26,192.718,7,8,3,13,14,4,1
100.362,39,26,183.317,10,10,4,10,10,4,0
100.362,39,26,183.317,16,16,5,16,16,5,0
100.362,37,26,173.916,14,15,5,14,15,5,1
100.362,38,26,178.617,14,14,4,14,14,4,1
100.362,53,26,249.123,11,12,5,11,12,5,0
100.362,43,26,202.119,7,7,3,7,7,3,0
100.362,45,26,211.52,10,13,5,10,13,5,1
100.362,47,26,220.921,13,13,5,13,13,5,1
100.362,28,26,131.612,6,6,1,6,6,1,0
101.409,54,27,256.764,10,10,6,10,10,6,0
101.409,65,27,309.068,13,20,9,13,20,9,0
101.623,30,27,142.647,7,7,1,7,7,1,1
101.623,30,27,142.647,7,7,1,7,7,1,1
101.623,35,27,166.421,8,8,2,8,8,2,0
101.623,35,27,166.421,8,8,2,8,8,2,0
101.623,35,27,166.421,8,8,2,8,8,2,0
101.948,34,26,159.815,8,8,1,14,14,2,0
101.948,35,26,164.515,9,9,3,9,9,3,0
101.948,40,26,188.018,15,16,5,15,16,5,0
101.948,37,26,173.916,8,8,1,14,14,2,0
101.948,38,26,178.617,7,7,3,7,7,3,1
101.948,38,26,178.617,7,8,3,7,8,3,1
101.948,38,26,178.617,17,17,7,17,17,7,1
101.948,38,26,178.617,17,17,7,17,17,7,1
101.948,46,26,216.22,7,10,4,7,10,4,1
101.948,43,26,202.119,9,10,4,9,10,4,0
101.948,44,26,206.819,11,11,4,11,11,4,0
101.948,46,26,216.22,12,13,6,12,13,6,1
101.948,43,26,202.119,7,7,3,7,7,3,1
101.948,49,26,230.322,14,14,7,14,14,7,0
101.948,46,26,216.22,11,11,4,11,11,4,0
102.054,47,27,223.48,16,16,5,16,16,5,1
102.054,35,27,166.421,8,8,3,8,8,3,0
102.706,42,27,199.705,7,7,2,7,7,2,0
102.706,45,27,213.97,9,14,5,9,14,5,0
102.706,53,27,252.009,10,17,6,10,17,6,1
102.862,40,25,185.754,15,15,6,15,15,6,1
103.588,36,27,171.176,11,11,4,11,11,4,0
103.588,40,27,190.195,13,19,5,13,19,5,1
103.588,42,27,199.705,8,12,4,8,12,4,1
103.588,40,27,190.195,12,14,5,12,14,5,0
103.588,41,27,194.95,7,7,3,7,7,3,1
103.588,44,27,209.215,16,21,7,16,21,7,1
103.588,45,27,213.97,13,13,8,13,13,8,0
103.848,41,26,192.718,14,14,1,29,29,3,1
103.848,32,26,150.414,10,11,4,10,11,4,1
103.848,37,26,173.916,5,5,1,5,5,1,1
103.848,37,26,173.916,5,5,1,5,5,1,1
103.848,37,26,173.916,5,5,1,5,5,1,1
103.848,44,26,206.819,7,8,3,7,8,3,0
103.848,35,26,164.515,6,6,1,14,14,2,0
103.848,49,26,230.322,8,8,5,8,8,5,0
103.848,44,26,206.819,9,9,6,9,9,6,0
104.711,37,27,175.931,10,10,3,10,10,3,0
104.711,37,27,175.931,10,10,4,10,10,4,0
104.711,44,27,209.215,13,15,4,13,15,4,0
104.711,49,27,232.989,11,11,6,11,11,6,0
104.711,50,27,237.744,16,16,5,16,16,5,0
104.711,48,27,228.235,13,13,5,13,13,5,1
104.711,63,27,299.558,19,19,8,19,19,8,0
104.711,50,27,237.744,10,10,4,10,10,4,1
106.09,42,27,199.705,11,17,4,11,17,4,1
106.09,44,27,209.215,10,11,3,10,11,3,0
106.09,35,27,166.421,10,13,3,17,20,5,1
106.09,39,27,185.441,12,12,4,12,12,4,1
