HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,4,4,1,4,4,1,1
10.0,6,6,15.5098,4,4,1,4,4,1,1
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,5,0,3,5,0,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,1,1,0,1,1,0,0
10.0,6,6,15.5098,1,1,0,1,1,0,1
10.0,6,6,15.5098,1,1,0,1,1,0,1
10.0,6,6,15.5098,1,1,0,1,1,0,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,1
10.0,7,6,18.0947,3,3,1,3,3,1,0
100.239,34,25,157.891,6,8,1,17,20,4,0
100.239,34,25,157.891,9,9,1,9,9,1,0
100.239,36,25,167.179,9,10,5,9,10,5,1
100.239,39,25,181.11,7,7,4,7,7,4,1
100.239,50,25,232.193,10,10,4,14,14,5,0
100.362,38,26,178.617,5,5,2,5,5,2,1
100.362,36,26,169.216,8,15,3,8,15,3,1
100.362,40,26,188.018,10,10,3,15,15,5,1
