HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,4,0,2,4,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,1,1,0,1,1,0,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,8,6,20.6797,3,3,1,3,3,1,1
100.239,46,25,213.617,12,17,8,12,17,8,1
100.362,39,26,183.317,12,12,5,12,12,5,0
100.362,35,26,164.515,8,9,5,8,9,5,0
100.362,40,26,188.018,11,12,6,11,12,6,0
100.362,43,26,202.119,9,11,5,9,11,5,1
100.362,51,26,239.722,7,8,5,7,8,5,0
100.362,53,26,249.123,8,9,5,8,9,5,0
100.362,46,26,216.22,7,7,6,7,7,6,1
100.362,52,26,244.423,11,12,7,11,12,7,0
100.362,54,26,253.824,14,18,9,14,18,9,1
100.362,33,26,155.115,5,5,1,5,5,1,0
101.409,39,27,185.441,6,6,4,6,6,4,0
101.409,33,27,156.911,5,5,2,5,5,2,0
101.623,47,27,223.48,9,11,5,9,11,5,1
101.623,56,27,266.274,10,17,7,10,17,7,0
101.948,36,26,169.216,7,8,2,7,8,2,1
101.948,44,26,206.819,10,10,6,10,10,6,1
101.948,43,26,202.119,6,6,4,6,6,4,0
101.948,51,26,239.722,6,7,4,6,7,4,0
101.948,52,26,244.423,18,18,10,18,18,10,1
101.948,38,26,178.617,10,12,5,10,12,5,1
101.948,43,26,202.119,12,12,6,12,12,6,1
101.948,44,26,206.819,10,13,6,10,13,6,0
101.948,59,26,277.326,11,11,8,11,11,8,1
101.948,62,26,291.427,9,13,5,9,13,5,1
102.054,50,27,237.744,7,9,3,7,9,3,0
102.054,63,27,299.558,5,5,2,5,5,2,0
102.054,68,27,323.332,12,17,10,12,17,10,1
102.706,35,27,166.421,7,11,4,7,11,4,0
102.706,44,27,209.215,7,9,4,7,9,4,0
102.706,44,27,209.215,8,11,6,8,11,6,0
102.706,39,27,185.441,6,7,3,6,7,3,0
102.706,44,27,209.215,10,15,7,10,15,7,1
102.706,55,27,261.519,10,16,7,10,16,7,1
102.706,52,27,247.254,5,5,3,5,5,3,0
102.706,45,27,213.97,6,8,3,6,8,3,1
102.706,69,27,328.087,12,15,8,12,15,8,1
102.706,41,27,194.95,18,21,1,18,21,1,1
102.706,31,27,147.402,5,5,1,5,5,1,1
102.706,38,27,180.686,9,12,6,9,12,6,0
103.588,40,27,190.195,10,10,5,10,10,5,1
103.588,38,27,180.686,11,11,6,11,11,6,1
103.588,48,27,228.235,8,10,5,8,10,5,0
103.848,45,26,211.52,7,7,5,7,7,5,1
104.711,33,27,156.911,6,6,3,6,6,3,0
104.711,38,27,180.686,9,9,5,9,9,5,1
104.711,39,27,185.441,8,8,4,8,8,4,1
104.711,37,27,175.931,11,11,6,11,11,6,0
104.711,45,27,213.97,12,12,6,12,12,6,0
104.711,51,27,242.499,8,9,5,8,9,5,0
104.711,51,27,242.499,8,9,5,8,9,5,0
104.711,44,27,209.215,8,12,6,8,12,6,1
