HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
101.623,75,27,356.617,12,12,8,12,12,8,0
102.862,41,25,190.398,7,7,4,7,7,4,0
102.862,41,25,190.398,7,7,4,7,7,4,0
109.24,43,28,206.716,12,14,4,12,14,4,1
120.768,74,30,363.11,18,18,11,18,18,11,1
123.164,88,31,435.969,14,14,10,14,14,10,1
123.164,67,31,331.931,18,19,9,18,19,9,1
123.693,48,30,235.531,12,12,5,12,12,5,0
128.816,53,32,265.0,13,13,4,13,13,4,1
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,3,3,1,3,3,1,0
132.571,58,32,290.0,8,8,7,8,8,7,0
132.571,66,32,330.0,14,18,7,14,18,7,0
136.161,105,33,529.661,15,19,9,27,31,12,1
139.059,59,34,300.16,16,16,7,16,16,7,1
140.344,114,34,579.971,16,16,10,16,16,10,1
141.127,77,34,391.735,13,13,11,13,13,11,1
143.258,83,34,422.259,21,24,13,21,24,13,1
145.542,77,35,394.955,15,15,4,15,15,4,1
150.197,71,36,367.065,13,13,5,13,13,5,1
150.439,66,36,341.215,13,15,6,13,15,6,0
150.439,72,36,372.235,15,17,8,15,17,8,1
155.769,71,37,369.871,13,13,5,13,13,5,1
159.116,88,37,458.432,12,12,5,12,12,5,0
161.601,75,37,390.709,13,13,8,13,13,8,0
163.342,115,38,603.512,17,17,17,17,17,17,0
165.231,95,38,498.553,14,14,11,14,14,11,0
168.642,80,39,422.832,16,16,10,16,16,10,0
169.411,68,38,356.859,9,9,7,9,9,7,0
176.488,65,40,345.925,14,22,6,14,22,6,0
178.935,75,40,399.145,13,13,10,13,13,10,1
185.583,72,42,388.247,10,10,6,10,10,6,0
185.583,72,42,388.247,10,10,6,10,10,6,0
200.51,67,44,365.782,15,15,8,15,15,8,1
202.149,101,45,554.677,15,15,12,15,15,12,0
204.519,108,44,589.619,17,17,12,17,17,12,0
205.81,110,45,604.104,19,20,16,19,20,16,0
208.65,91,46,502.644,13,14,9,13,14,9,0
208.65,128,46,707.016,20,20,18,20,20,18,1
215.94,149,47,827.634,32,33,18,32,33,18,0
236.974,125,50,705.482,21,21,11,21,21,11,1
24.4064,12,10,39.8631,3,3,1,3,3,1,0
251.353,140,52,798.062,18,23,16,18,23,16,0
258.107,110,54,633.038,24,25,13,24,25,13,0
262.988,131,55,757.358,26,33,10,26,33,10,1
263.303,142,55,820.953,22,28,21,22,28,21,0
264.042,142,55,820.953,20,27,18,20,27,18,0
27.1194,13,11,44.9726,3,3,1,3,3,1,0
283.013,119,58,697.1,25,26,14,25,26,14,1
288.321,129,57,752.443,19,21,10,19,21,10,0
294.606,171,60,1010.08,29,35,15,29,35,15,0
296.156,164,60,968.73,42,53,19,42,53,19,0
31.0195,15,12,53.7744,4,4,1,4,4,1,1
32.0,16,12,57.3594,3,3,1,3,3,1,0
33.2842,13,12,46.6045,4,4,1,4,4,1,0
332.454,217,65,1306.85,28,29,21,28,29,21,0
35.1613,20,13,74.0088,6,6,2,6,6,2,0
35.1613,27,13,99.9119,5,5,3,5,5,3,0
35.2193,13,12,46.6045,4,4,1,4,4,1,1
35.2193,15,12,53.7744,4,4,1,4,4,1,0
35.6096,23,13,85.1101,5,5,3,5,5,3,1
354.266,213,69,1301.12,42,74,25,42,74,25,1
36.5293,17,13,62.9075,5,5,1,5,5,1,1
36.5293,17,13,62.9075,5,5,1,5,5,1,1
364.352,152,69,928.496,19,22,15,19,22,15,0
366.186,230,70,1409.74,31,32,22,31,32,22,0
380.057,173,73,1070.84,33,40,24,33,40,24,0
392.171,181,75,1127.42,43,54,21,43,54,21,1
392.942,180,75,1121.19,34,41,25,34,41,25,1
398.289,217,75,1351.65,43,52,30,43,52,30,1
4.75489,4,4,8.0,2,2,0,2,2,0,0
405.39,222,76,1387.04,43,52,31,43,52,31,1
405.39,222,76,1387.04,43,52,31,43,52,31,1
41.2193,16,14,60.9177,4,4,1,4,4,1,0
412.519,235,77,1472.69,46,56,31,46,56,31,1
412.854,239,78,1502.21,44,50,25,44,50,25,0
429.4,250,80,1580.48,32,38,29,32,38,29,1
434.543,234,81,1483.52,42,53,24,42,53,24,1
443.805,213,81,1350.39,38,50,26,38,50,26,1
46.0537,23,15,89.8585,3,3,1,3,3,1,0
466.793,239,86,1535.88,38,42,28,38,42,28,1
481.682,214,87,1378.79,38,50,25,38,50,25,0
482.795,219,87,1411.0,38,48,25,38,48,25,1
489.019,218,88,1408.16,38,50,25,38,50,25,1
499.763,211,90,1369.78,35,39,17,35,39,17,0
50.1057,20,15,78.1378,5,5,1,5,5,1,0
500.656,278,90,1804.74,33,35,26,33,35,26,1
500.656,273,90,1772.28,33,36,26,33,36,26,1
501.217,251,91,1633.46,36,46,29,36,46,29,1
51.0195,28,16,112.0,6,7,3,6,7,3,0
51.0195,20,16,80.0,4,4,1,4,4,1,0
