HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
100.362,40,26,188.018,8,8,6,8,8,6,0
100.362,51,26,239.722,12,12,8,12,12,8,1
101.948,49,26,230.322,8,8,3,8,8,3,1
108.278,117,28,562.461,19,20,16,19,20,16,1
111.89,43,28,206.716,10,10,5,10,10,5,0
114.968,121,29,587.816,40,43,30,40,43,30,1
116.239,51,29,247.757,9,9,5,9,9,5,1
116.239,122,29,592.674,31,31,20,31,31,20,0
117.759,57,29,276.905,10,10,5,10,10,5,1
121.649,65,29,315.769,12,14,7,12,14,7,1
122.603,101,31,500.374,16,18,15,16,18,15,0
123.164,67,31,331.931,11,11,8,11,11,8,1
124.492,80,31,396.336,19,23,14,19,23,14,0
125.549,48,30,235.531,15,16,9,15,16,9,0
125.549,54,30,264.972,6,6,6,6,6,6,1
126.637,50,31,247.71,6,6,5,6,6,5,0
129.691,50,31,247.71,7,7,7,7,7,7,1
129.691,69,31,341.84,15,15,11,15,15,11,1
13.6096,7,7,19.6515,5,5,1,5,5,1,0
13.6096,7,7,19.6515,5,5,1,5,5,1,0
13.6096,7,7,19.6515,5,5,1,5,5,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,1
13.6096,7,7,19.6515,3,3,1,3,3,1,0
13.6096,7,7,19.6515,2,2,1,2,2,1,1
130.292,80,32,400.0,19,23,14,19,23,14,1
131.327,86,32,430.0,22,27,19,22,27,19,0
133.487,76,33,383.374,11,11,8,11,11,8,0
133.821,55,31,272.481,10,11,5,10,11,5,0
135.258,87,33,438.862,12,13,9,12,13,9,1
138.974,78,34,396.822,20,25,13,20,25,13,0
141.127,71,34,361.21,12,12,8,12,12,8,1
144.626,55,34,279.81,12,13,8,12,13,8,1
144.626,67,34,340.86,11,11,9,11,11,9,0
145.042,89,35,456.506,24,26,21,24,26,21,0
148.033,57,34,289.985,8,8,4,8,8,4,1
148.033,57,34,289.985,8,8,4,8,8,4,1
15.5098,7,7,19.6515,4,4,1,4,4,1,0
15.5098,8,7,22.4588,3,3,1,3,3,1,1
150.116,71,34,361.21,11,11,7,11,11,7,1
150.116,87,34,442.609,9,13,7,60,71,53,0
158.145,78,37,406.337,21,22,18,21,22,18,1
158.145,92,37,479.27,13,13,10,13,13,10,0
161.726,154,38,808.181,32,35,29,32,35,29,1
161.726,154,38,808.181,32,35,29,32,35,29,1
161.726,154,38,808.181,32,35,29,32,35,29,1
163.342,103,38,540.537,26,31,21,26,31,21,0
169.411,76,38,398.842,10,10,9,10,10,9,0
17.5098,8,8,24.0,4,4,1,4,4,1,1
171.207,88,38,461.818,17,17,13,17,17,13,0
171.207,95,38,498.553,13,13,9,13,13,9,1
173.529,65,40,345.925,16,17,8,16,17,8,0
177.58,95,39,502.113,16,16,7,16,16,7,1
177.625,114,40,606.7,16,16,16,16,16,16,1
178.818,106,41,567.901,20,20,20,20,20,20,1
180.096,99,41,530.398,19,19,17,19,19,17,0
183.901,125,41,669.694,20,24,18,20,24,18,1
184.546,113,42,609.332,29,29,31,29,29,31,0
185.26,93,41,498.252,9,9,13,9,9,13,0
185.26,108,41,578.616,21,25,16,21,25,16,1
186.211,96,42,517.662,13,16,11,13,16,11,1
186.799,83,41,444.677,22,23,12,22,23,12,0
188.987,124,42,668.647,17,17,17,17,17,17,0
19.6096,11,9,34.8692,5,5,2,5,5,2,0
190.226,69,42,372.07,16,18,11,16,18,11,1
190.465,97,41,519.683,12,12,7,12,12,7,1
190.48,54,43,293.018,13,13,2,13,13,2,1
190.75,98,43,531.774,27,35,22,44,53,32,0
193.219,76,42,409.816,11,12,8,11,12,8,1
196.478,157,44,857.131,24,26,21,24,26,21,1
