HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,3,3,0,3,3,0,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,35,27,166.421,9,9,4,9,9,4,0
101.409,35,27,166.421,9,9,4,9,9,4,0
102.054,53,27,252.009,7,7,6,7,7,6,0
103.848,48,26,225.621,13,13,6,13,13,6,1
107.02,42,28,201.909,9,9,4,9,9,4,1
111.906,43,29,208.893,12,12,3,12,12,3,0
113.112,45,29,218.609,7,7,3,7,7,3,0
113.617,40,28,192.294,8,8,3,8,8,3,0
114.968,53,29,257.473,9,10,5,9,10,5,1
114.968,62,29,301.195,12,12,7,12,12,7,0
116.239,57,29,276.905,9,9,7,9,9,7,0
116.239,66,29,320.627,12,12,11,12,12,11,1
117.207,45,30,220.81,13,13,3,13,13,3,0
122.107,63,30,309.134,14,18,9,14,18,9,0
123.164,66,31,326.977,9,9,8,9,9,8,1
124.492,51,31,252.664,17,19,8,17,19,8,1
128.042,51,31,252.664,9,9,5,9,9,5,0
13.6096,7,7,19.6515,3,3,1,3,3,1,1
13.6096,7,7,19.6515,2,2,1,2,2,1,0
13.6096,7,7,19.6515,2,2,1,2,2,1,0
130.292,62,32,310.0,13,26,8,13,26,8,1
130.292,69,32,345.0,10,12,7,10,12,7,1
132.571,54,32,270.0,6,6,4,6,6,4,0
132.571,102,32,510.0,11,13,7,11,13,7,0
134.039,58,32,290.0,9,10,5,9,10,5,1
140.344,68,34,345.947,13,16,9,13,16,9,1
143.258,74,34,376.472,14,14,9,14,14,9,1
143.258,77,34,391.735,11,14,7,11,14,7,0
144.546,86,35,441.118,16,16,11,16,16,11,1
144.711,61,35,312.886,9,9,10,9,9,10,1
145.542,61,35,312.886,12,15,10,12,15,10,1
147.061,75,35,384.696,11,11,7,11,11,7,1
150.842,88,36,454.953,18,18,12,18,18,12,0
151.41,72,36,372.235,17,19,9,17,19,9,0
152.148,55,36,284.346,20,20,4,20,20,4,0
154.15,65,36,336.045,15,23,8,15,23,8,1
155.769,60,37,312.567,19,24,5,19,24,5,1
162.645,65,38,341.115,12,15,10,12,15,10,0
165.231,84,38,440.826,15,15,10,15,15,10,0
165.231,82,38,430.33,20,21,12,20,21,12,1
166.436,64,38,335.867,22,23,7,22,23,7,0
174.7,87,40,463.008,20,22,11,20,22,11,1
176.488,139,40,739.748,17,20,14,17,20,14,0
186.985,75,42,404.424,15,15,7,15,15,7,1
190.75,103,43,558.905,19,26,14,19,26,14,1
196.807,88,44,480.43,14,17,9,14,17,9,1
198.606,83,44,453.133,12,15,9,12,15,9,1
20.2647,9,9,28.5293,4,5,1,4,5,1,1
20.2647,10,9,31.6992,4,4,1,4,4,1,1
