HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
100.239,37,25,171.823,9,9,4,9,9,4,0
101.409,59,27,280.538,9,9,6,9,9,6,0
103.848,49,26,230.322,8,8,6,8,8,6,0
104.711,36,27,171.176,8,9,3,8,9,3,1
107.748,37,27,175.931,8,8,3,8,8,3,0
109.24,51,28,245.175,13,13,8,13,13,8,0
11.6096,6,6,15.5098,3,3,0,3,3,0,0
110.439,43,28,206.716,14,15,5,14,15,5,1
112.042,38,27,180.686,5,5,3,5,5,3,0
117.759,50,29,242.899,7,7,4,7,7,4,1
119.658,61,30,299.32,9,12,6,9,12,6,0
12.7549,8,7,22.4588,3,3,1,3,3,1,0
12.7549,8,7,22.4588,3,3,1,3,3,1,0
121.649,40,29,194.319,7,7,3,7,7,3,1
122.107,46,30,225.717,14,14,8,14,14,8,1
122.107,47,30,230.624,4,4,4,4,4,4,1
127.706,46,30,225.717,8,8,3,8,8,3,0
127.706,49,30,240.438,11,12,5,11,12,5,0
127.706,47,30,230.624,11,11,7,11,11,7,1
128.042,45,31,222.939,9,10,4,9,10,4,0
128.042,45,31,222.939,9,10,4,9,10,4,1
129.691,50,31,247.71,7,9,4,7,9,4,1
129.691,52,31,257.618,8,8,5,8,8,5,1
129.691,49,31,242.756,9,9,5,9,9,5,1
129.691,54,31,267.527,15,15,7,15,15,7,1
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,3,3,1,3,3,1,0
13.6096,7,7,19.6515,3,3,1,3,3,1,0
130.292,62,32,310.0,8,9,4,8,9,4,1
131.606,53,31,262.572,16,16,8,16,16,8,1
135.748,49,32,245.0,11,12,6,11,12,6,0
137.721,49,32,245.0,12,13,5,12,13,5,1
137.721,56,32,280.0,16,16,8,16,16,8,0
138.568,51,33,257.264,12,13,6,12,13,6,0
139.992,59,32,295.0,10,12,6,10,12,6,1
141.863,56,33,282.486,17,17,8,17,17,8,0
146.211,48,34,244.198,10,10,4,10,10,4,1
15.5098,7,7,19.6515,4,4,1,4,4,1,0
154.15,58,36,299.856,8,10,5,8,10,5,0
154.15,58,36,299.856,8,10,5,8,10,5,1
16.3645,8,8,24.0,4,4,1,4,4,1,0
16.3645,8,8,24.0,4,4,1,4,4,1,0
16.3645,8,8,24.0,3,3,1,3,3,1,0
16.3645,8,8,24.0,3,3,1,3,3,1,0
16.3645,10,8,30.0,3,3,1,3,3,1,0
16.3645,10,8,30.0,3,3,1,3,3,1,0
16.3645,10,8,30.0,3,3,1,3,3,1,0
16.3645,10,8,30.0,3,3,1,3,3,1,1
160.533,57,36,294.686,7,7,6,7,7,6,1
167.825,69,38,362.107,9,9,6,9,9,6,1
17.5098,8,8,24.0,4,4,1,4,4,1,0
17.5098,8,8,24.0,4,4,1,4,4,1,0
17.5098,8,8,24.0,4,4,1,4,4,1,0
19.6515,9,8,27.0,3,3,1,3,3,1,1
2.0,3,3,4.75489,2,2,0,2,2,0,0
20.2647,9,9,28.5293,4,4,1,4,4,1,0
20.2647,9,9,28.5293,4,4,1,4,4,1,0
20.2647,11,9,34.8692,3,3,1,3,3,1,0
21.6515,11,9,34.8692,4,4,1,4,4,1,0
21.6515,9,9,28.5293,4,4,1,4,4,1,0
21.6515,11,9,34.8692,3,3,1,3,3,1,1
23.5098,11,10,36.5412,3,3,1,3,3,1,1
24.0,10,9,31.6992,3,3,1,3,3,1,0
24.0,10,9,31.6992,3,3,1,3,3,1,1
24.0,10,9,31.6992,3,3,1,3,3,1,0
24.4064,10,10,33.2193,4,4,1,4,4,1,0
24.4064,11,10,36.5412,3,3,1,3,3,1,1
24.4064,12,10,39.8631,3,3,1,3,3,1,1
24.4064,12,10,39.8631,3,3,1,3,3,1,0
26.0,10,10,33.2193,4,4,1,4,4,1,0
26.0,10,10,33.2193,3,3,1,3,3,1,0
26.0,10,10,33.2193,3,3,1,3,3,1,0
26.0,12,10,39.8631,4,4,1,4,4,1,0
27.6515,13,11,44.9726,4,4,1,4,4,1,0
28.5293,11,10,36.5412,3,3,1,3,3,1,0
28.7549,11,11,38.0537,4,4,1,4,4,1,0
28.7549,11,11,38.0537,4,4,1,4,4,1,0
28.7549,11,11,38.0537,4,4,1,4,4,1,0
28.7549,11,11,38.0537,4,4,1,4,4,1,0
28.7549,17,11,58.8103,6,6,1,6,6,1,0
28.7549,13,11,44.9726,4,4,1,4,4,1,0
30.5293,13,11,44.9726,4,4,1,4,4,1,0
30.5293,13,11,44.9726,4,4,1,4,4,1,0
30.5293,13,11,44.9726,4,4,1,4,4,1,0
30.5293,13,11,44.9726,4,4,1,4,4,1,0
30.5293,13,11,44.9726,4,4,1,4,4,1,0
30.5293,13,11,44.9726,4,4,1,4,4,1,0
30.5293,12,11,41.5132,3,3,1,3,3,1,1
32.0,12,12,43.0195,4,4,1,4,4,1,0
32.0,12,12,43.0195,4,4,1,4,4,1,0
32.0,12,12,43.0195,4,4,1,4,4,1,0
32.0,17,12,60.9444,4,4,2,4,4,2,0
33.2193,11,11,38.0537,4,4,1,4,4,1,0
