HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
118.764,80,30,392.551,11,12,8,11,12,8,0
123.693,53,30,260.065,7,7,4,7,7,4,0
125.549,84,30,412.179,14,15,8,14,15,8,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
147.061,104,35,533.445,10,10,12,10,10,12,0
154.15,93,36,480.803,16,16,9,16,16,9,0
156.911,80,36,413.594,11,11,9,11,11,9,0
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,1
169.411,86,38,451.322,12,12,10,12,12,10,0
17.5098,9,8,27.0,4,4,1,4,4,1,1
20.2647,9,9,28.5293,4,4,1,4,4,1,1
20.2647,9,9,28.5293,4,4,1,4,4,1,1
209.665,175,46,966.623,28,31,20,28,31,20,0
217.58,97,47,538.795,16,20,12,16,20,12,0
225.969,85,47,472.14,17,22,11,21,28,12,1
227.631,93,48,519.401,22,27,14,26,33,15,0
235.059,121,50,682.907,13,19,8,13,19,8,1
235.952,105,50,592.605,17,21,13,17,21,13,1
238.128,134,50,756.277,18,21,16,18,21,16,1
27.1194,15,11,51.8915,4,4,2,4,4,2,0
28.7549,12,11,41.5132,4,4,1,4,4,1,0
31.2611,13,12,46.6045,4,4,1,4,4,1,0
31.2611,13,12,46.6045,4,4,1,4,4,1,0
31.2611,13,12,46.6045,4,4,1,4,4,1,0
32.0,15,12,53.7744,5,5,3,5,5,3,0
32.0,15,12,53.7744,5,5,3,5,5,3,0
327.356,149,65,897.333,20,26,14,20,26,14,0
33.2193,13,11,44.9726,5,5,2,5,5,2,0
33.2842,19,12,68.1143,4,4,1,4,4,1,0
361.083,204,70,1250.37,29,33,21,29,33,21,1
37.9742,14,13,51.8062,6,6,2,6,6,2,0
39.5098,14,14,53.303,4,4,1,4,4,1,0
39.5098,14,14,53.303,4,4,1,4,4,1,0
420.549,222,79,1399.44,29,32,22,29,32,22,0
47.7744,17,15,66.4171,4,4,1,4,4,1,1
59.7154,39,18,162.627,9,10,7,9,10,7,0
61.303,22,18,91.7384,5,5,1,5,5,1,0
63.6155,25,19,106.198,6,6,3,6,6,3,0
63.6155,30,19,127.438,5,5,3,5,5,3,0
66.6034,36,19,152.925,7,7,2,7,7,2,0
72.0,28,20,121.014,6,6,1,6,6,1,0
74.2418,34,20,146.946,6,6,1,6,6,1,0
81.325,57,23,257.843,17,19,11,17,19,11,1
82.6034,67,23,303.079,10,12,8,10,12,8,0
86.6683,37,23,167.372,6,6,4,6,6,4,0
89.1384,47,24,215.493,8,8,4,8,8,4,0
93.4869,36,25,167.179,6,6,3,6,6,3,1
94.7101,32,25,148.603,9,10,5,9,10,5,0
94.7101,48,25,222.905,8,11,7,8,11,7,0
345.947,190,68,1156.62,29,37,26,33,41,27,1
365.724,199,71,1223.8,30,38,27,34,42,28,0
151.41,90,36,465.293,13,18,10,13,18,10,0
112.106,69,29,335.201,16,18,11,16,18,11,1
107.02,68,28,326.9,16,19,11,16,19,11,0
112.106,69,29,335.201,16,19,11,16,19,11,1
