HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,4,0,3,4,0,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,4,0,2,4,0,0
10.0,6,6,15.5098,2,3,0,2,3,0,0
10.0,6,6,15.5098,2,3,0,2,3,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,0
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,2,2,0,2,2,0,1
10.0,6,6,15.5098,1,1,0,1,1,0,0
10.0,6,6,15.5098,1,1,0,1,1,0,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,8,6,20.6797,4,4,1,4,4,1,0
10.0,8,6,20.6797,3,3,1,3,3,1,0
10.0,8,6,20.6797,3,3,1,3,3,1,1
100.239,46,25,213.617,12,17,8,12,17,8,1
100.239,38,25,176.467,8,9,4,8,9,4,0
100.239,38,25,176.467,7,7,4,7,7,4,0
100.239,41,25,190.398,6,8,3,6,8,3,0
100.362,39,26,183.317,12,12,5,12,12,5,0
100.362,35,26,164.515,8,9,5,8,9,5,0
100.362,37,26,173.916,8,10,5,8,10,5,0
100.362,39,26,183.317,10,10,5,10,10,5,0
100.362,40,26,188.018,12,14,7,12,14,7,0
100.362,40,26,188.018,11,12,6,11,12,6,0
