HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
101.948,39,26,183.317,5,5,3,5,5,3,0
104.711,53,27,252.009,8,8,6,8,8,6,0
106.709,42,28,201.909,9,9,4,9,9,4,0
109.24,43,28,206.716,12,14,4,12,14,4,1
112.106,55,29,267.189,11,11,6,11,11,6,0
112.506,86,29,417.786,15,15,12,15,15,12,0
114.968,72,29,349.775,18,18,11,18,18,11,0
115.652,53,28,254.79,8,8,5,8,8,5,0
117.303,52,30,255.158,15,15,6,15,15,6,0
120.768,74,30,363.11,18,18,11,18,18,11,1
120.768,57,30,279.693,9,9,8,9,9,8,0
120.768,59,30,289.507,9,9,8,9,9,8,0
122.79,53,31,262.572,15,16,6,15,16,6,0
123.164,88,31,435.969,14,14,10,14,14,10,1
123.164,67,31,331.931,18,19,9,18,19,9,1
123.693,54,30,264.972,8,8,5,8,8,5,0
128.0,76,32,380.0,10,10,3,10,10,3,0
128.816,53,32,265.0,13,13,4,13,13,4,1
129.691,69,31,341.84,13,13,9,13,13,9,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,8,7,22.4588,3,3,1,3,3,1,0
13.6096,8,7,22.4588,3,3,1,3,3,1,0
131.327,61,32,305.0,8,8,6,8,8,6,0
132.571,58,32,290.0,8,8,7,8,8,7,0
133.662,42,33,211.865,12,14,3,12,14,3,0
133.662,73,33,368.241,16,16,14,16,16,14,0
136.161,105,33,529.661,15,19,9,27,31,12,1
139.059,59,34,300.16,16,16,7,16,16,7,1
140.344,114,34,579.971,16,16,10,16,16,10,1
141.127,77,34,391.735,13,13,11,13,13,11,1
143.258,83,34,422.259,21,24,13,21,24,13,1
145.542,77,35,394.955,15,15,4,15,15,4,1
150.197,71,36,367.065,13,13,5,13,13,5,1
150.439,72,36,372.235,15,17,8,15,17,8,1
150.842,85,36,439.444,17,17,13,17,17,13,0
154.257,103,35,528.316,16,18,8,38,40,19,0
155.769,71,37,369.871,13,13,5,13,13,5,1
155.925,64,37,333.405,10,10,6,10,10,6,0
159.116,88,37,458.432,12,12,5,12,12,5,0
160.265,104,37,541.783,18,20,12,18,20,12,0
161.726,68,38,356.859,10,10,6,10,10,6,0
169.411,68,38,356.859,9,9,7,9,9,7,0
17.5098,8,8,24.0,4,4,1,4,4,1,0
17.5098,8,8,24.0,4,4,1,4,4,1,0
176.488,65,40,345.925,14,22,6,14,22,6,0
178.935,75,40,399.145,13,13,10,13,13,10,1
181.685,72,41,385.744,15,23,7,15,23,7,0
183.901,83,41,444.677,14,14,7,14,14,7,0
191.155,91,43,493.79,16,23,11,16,23,11,0
194.184,69,43,374.412,11,11,8,11,11,8,0
195.312,67,43,363.56,16,16,8,16,16,8,0
20.2647,9,9,28.5293,3,4,0,3,4,0,0
200.51,67,44,365.782,15,15,8,15,15,8,1
200.51,100,44,545.943,15,15,12,15,15,12,0
202.149,101,45,554.677,15,15,12,15,15,12,0
205.81,149,45,818.286,32,40,20,32,40,20,0
208.65,128,46,707.016,20,20,18,20,20,18,1
21.6515,9,9,28.5293,3,3,1,3,3,1,0
21.6515,10,9,31.6992,3,3,1,3,3,1,0
226.253,126,49,707.453,16,17,14,16,17,14,0
236.974,125,50,705.482,21,21,11,21,21,11,1
242.461,176,51,998.347,33,42,24,33,42,24,0
244.478,114,52,649.85,15,15,11,15,15,11,0
248.032,113,52,644.15,30,31,15,30,31,15,0
250.593,130,53,744.63,16,16,7,16,16,7,0
252.239,121,53,693.078,12,14,10,12,14,10,0
252.239,121,53,693.078,12,14,10,12,14,10,0
26.0,10,10,33.2193,4,4,1,4,4,1,0
262.988,131,55,757.358,26,33,10,26,33,10,1
263.093,176,55,1017.52,27,32,24,27,32,24,0
