HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
100.362,43,26,202.119,7,7,4,7,7,4,0
101.623,60,27,285.293,9,9,7,9,9,7,0
106.09,44,27,209.215,8,8,5,8,8,5,0
106.09,51,27,242.499,8,8,6,8,8,6,0
107.541,54,28,259.597,11,11,9,11,11,9,0
107.748,35,27,166.421,10,10,3,10,10,3,0
109.24,48,28,230.753,10,10,7,10,10,7,0
110.439,46,28,221.138,6,6,4,6,6,4,0
110.439,62,28,298.056,12,12,10,12,12,10,1
111.89,41,28,197.102,11,11,4,11,11,4,0
113.112,61,29,296.337,21,21,11,21,21,11,0
113.112,41,29,199.177,9,9,6,13,13,7,0
113.93,57,29,276.905,11,11,9,11,11,9,1
113.93,61,29,296.337,15,16,8,15,16,8,1
113.93,63,29,306.053,15,16,8,15,16,8,0
113.93,66,29,320.627,14,14,9,14,14,9,0
113.93,81,29,393.496,13,13,9,13,13,9,1
114.968,48,29,233.183,10,13,7,14,17,8,0
114.968,50,29,242.899,12,12,7,12,12,7,0
116.239,58,29,281.763,10,10,6,10,10,6,1
116.239,51,29,247.757,8,8,5,8,8,5,0
116.239,57,29,276.905,13,13,8,13,13,8,1
116.239,57,29,276.905,13,13,8,13,13,8,1
116.239,64,29,310.911,14,14,9,14,14,9,1
118.078,63,30,309.134,11,11,8,11,11,8,0
118.078,63,30,309.134,10,10,8,10,10,8,1
118.078,43,30,210.996,9,9,6,13,13,7,1
118.764,55,30,269.879,10,12,4,10,12,4,0
119.658,70,30,343.482,21,21,11,21,21,11,1
119.658,81,30,397.458,13,13,9,13,13,9,0
122.107,51,30,250.251,10,13,7,14,17,8,1
122.107,65,30,318.948,12,12,7,12,12,7,0
122.107,65,30,318.948,12,12,7,12,12,7,0
123.693,44,30,215.903,9,9,5,9,9,5,0
123.73,51,31,252.664,7,7,5,7,7,5,0
124.492,56,31,277.435,12,13,7,12,13,7,0
124.492,56,31,277.435,12,13,7,12,13,7,1
124.492,57,31,282.389,12,13,7,12,13,7,0
126.637,60,31,297.252,12,12,7,12,12,7,0
128.0,69,32,345.0,17,17,10,17,17,10,0
129.458,50,32,250.0,7,8,7,7,8,7,0
129.691,66,31,326.977,15,15,9,15,15,9,1
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,3,3,1,3,3,1,0
131.327,54,32,270.0,6,6,3,6,6,3,0
131.327,67,32,335.0,19,19,7,19,19,7,0
132.571,61,32,305.0,12,12,7,12,12,7,1
134.014,92,33,464.084,14,14,13,14,14,13,0
136.161,51,33,257.264,7,8,6,7,8,6,1
140.096,52,33,262.309,10,10,6,10,10,6,1
140.096,52,33,262.309,10,10,6,10,10,6,1
141.127,61,34,310.335,10,10,7,10,10,7,0
143.258,68,34,345.947,12,14,8,12,14,8,0
144.626,82,34,417.172,14,15,12,14,15,12,0
147.061,55,35,282.111,14,14,7,14,14,7,0
149.316,55,35,282.111,13,13,7,13,13,7,0
149.316,71,35,364.179,14,16,9,14,16,9,0
150.439,91,36,470.463,15,15,14,15,15,14,1
150.741,60,35,307.757,13,13,8,13,13,8,1
150.741,69,35,353.921,10,10,6,10,10,6,0
155.431,63,36,325.705,13,14,10,13,14,10,1
157.345,76,37,395.918,12,13,8,12,13,8,0
157.345,79,37,411.547,12,13,8,12,13,8,0
158.606,86,36,444.614,16,16,14,16,16,14,0
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,1
16.3645,8,8,24.0,3,3,1,3,3,1,0
160.265,78,37,406.337,15,15,10,15,15,10,0
160.265,81,37,421.966,19,22,13,19,22,13,1
164.202,58,38,304.38,13,13,7,13,13,7,1
165.231,88,38,461.818,16,16,10,16,16,10,0
165.231,89,38,467.066,16,16,10,16,16,10,1
165.231,80,38,419.834,12,12,8,12,12,8,1
165.231,84,38,440.826,13,13,9,13,13,9,1
166.436,59,38,309.628,9,11,6,9,11,6,0
166.436,78,38,409.338,14,15,11,14,15,11,0
167.825,91,38,477.561,23,24,14,23,24,14,0
169.411,94,38,493.305,16,17,14,16,17,14,0
17.5098,8,8,24.0,3,3,1,3,3,1,0
17.5098,8,8,24.0,3,3,1,3,3,1,0
17.5098,8,8,24.0,3,3,1,3,3,1,0
171.402,82,39,433.403,16,16,10,16,16,10,0
171.402,96,39,507.399,20,23,14,20,23,14,0
