HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,1,1,0,1,1,0,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
100.107,32,24,146.719,5,5,2,5,5,2,0
100.239,42,25,195.042,11,11,7,11,11,7,1
100.239,48,25,222.905,9,9,7,9,9,7,1
100.239,49,25,227.549,9,9,7,9,9,7,0
100.362,35,26,164.515,7,7,5,7,7,5,0
100.362,47,26,220.921,5,5,3,5,5,3,0
100.362,48,26,225.621,5,5,1,5,5,1,0
101.623,47,27,223.48,9,9,8,9,9,8,0
101.623,54,27,256.764,7,7,5,7,7,5,0
101.623,59,27,280.538,8,8,6,8,8,6,0
102.054,89,27,423.185,12,15,10,12,15,10,0
102.706,51,27,242.499,9,10,6,9,10,6,0
102.706,52,27,247.254,7,7,5,7,7,5,0
102.706,52,27,247.254,7,7,5,7,7,5,0
102.706,51,27,242.499,8,8,5,8,8,5,1
103.588,67,27,318.577,8,8,6,8,8,6,1
103.588,88,27,418.43,14,15,12,14,15,12,1
103.848,35,26,164.515,5,5,3,5,5,3,0
103.848,35,26,164.515,5,6,3,5,6,3,1
103.848,44,26,206.819,11,11,7,11,11,7,0
104.711,42,27,199.705,5,5,2,59,74,33,0
104.711,42,27,199.705,5,5,2,57,72,31,1
104.711,49,27,232.989,5,5,3,5,5,3,0
104.711,50,27,237.744,8,9,6,8,9,6,1
104.711,44,27,209.215,6,6,4,6,6,4,0
104.711,52,27,247.254,9,9,8,9,9,8,1
106.09,44,27,209.215,8,8,7,8,8,7,1
106.107,43,26,202.119,12,12,7,12,12,7,0
106.606,39,28,187.487,18,18,3,18,18,3,1
107.02,95,28,456.699,11,11,9,11,11,9,1
107.541,53,28,254.79,9,9,6,9,9,6,0
107.541,90,28,432.662,12,15,10,12,15,10,1
107.748,43,27,204.46,10,10,7,10,10,7,0
107.748,48,27,228.235,12,13,8,12,13,8,1
108.278,55,28,264.405,6,7,5,6,7,5,0
108.278,52,28,249.982,8,9,4,8,9,4,0
108.278,52,28,249.982,8,9,4,8,9,4,0
109.24,59,28,283.634,8,8,6,8,8,6,1
109.24,93,28,447.084,15,16,13,15,16,13,0
109.717,44,27,209.215,11,11,6,11,11,6,0
110.439,56,28,269.212,9,9,5,9,9,5,0
110.439,57,28,274.019,11,11,9,11,11,9,0
110.439,61,28,293.249,6,6,4,6,6,4,0
110.439,58,28,278.827,9,9,11,9,9,11,1
110.439,58,28,278.827,9,9,11,9,9,11,1
110.439,58,28,278.827,9,9,11,9,9,11,1
110.439,58,28,278.827,9,9,11,9,9,11,1
110.439,72,28,346.13,7,7,5,7,7,5,0
111.89,48,28,230.753,8,9,4,8,9,4,0
111.89,48,28,230.753,6,7,4,6,7,4,0
111.89,50,28,240.368,6,8,4,6,8,4,0
111.89,66,28,317.285,7,10,5,7,10,5,0
111.89,45,28,216.331,8,8,7,8,8,7,0
111.89,45,28,216.331,8,8,7,8,8,7,1
111.89,51,28,245.175,9,10,5,9,10,5,1
111.906,74,29,359.491,13,13,11,13,13,11,0
111.906,166,29,806.425,20,22,18,20,22,18,1
111.906,40,29,194.319,19,19,3,19,19,3,0
112.042,46,27,218.725,7,7,5,7,7,5,0
112.506,76,29,369.207,10,11,7,10,11,7,1
112.506,100,29,485.798,12,12,10,12,12,10,0
113.617,52,28,249.982,9,12,5,39,48,21,0
113.617,41,28,197.102,13,13,7,13,13,7,1
113.617,49,28,235.56,12,13,8,12,13,8,0
113.93,63,29,306.053,10,10,9,10,10,9,0
113.93,54,29,262.331,8,8,5,8,8,5,0
113.93,59,29,286.621,9,9,6,9,9,6,1
113.93,57,29,276.905,12,15,11,12,15,11,1
113.93,60,29,291.479,9,11,8,9,11,8,1
114.968,59,29,286.621,18,18,11,18,18,11,1
114.968,59,29,286.621,18,19,11,18,19,11,0
114.968,64,29,310.911,9,9,7,9,9,7,0
115.652,34,28,163.45,6,6,3,6,6,3,0
115.652,38,28,182.679,9,9,4,9,9,4,1
115.652,90,28,432.662,15,16,6,15,16,6,0
116.239,55,29,267.189,9,10,5,9,10,5,0
116.239,51,29,247.757,11,11,8,11,11,8,1
116.239,59,29,286.621,9,9,11,9,9,11,0
116.239,59,29,286.621,9,9,11,9,9,11,0
