HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,5,5,1,5,5,1,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,5,0,4,5,0,0
10.0,6,6,15.5098,4,5,0,4,5,0,0
10.0,6,6,15.5098,4,5,1,4,5,1,1
10.0,6,6,15.5098,4,5,1,4,5,1,1
10.0,6,6,15.5098,4,5,1,4,5,1,1
10.0,6,6,15.5098,4,5,1,4,5,1,1
10.0,6,6,15.5098,4,5,1,4,5,1,1
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
