HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,3,3,0,3,3,0,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,7,6,18.0947,1,1,1,1,1,1,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,34,27,161.666,8,8,4,8,8,4,0
101.409,35,27,166.421,9,9,4,9,9,4,0
101.409,35,27,166.421,9,9,4,9,9,4,0
101.409,35,27,166.421,9,9,4,9,9,4,0
101.409,35,27,166.421,9,9,4,9,9,4,0
101.409,35,27,166.421,9,9,4,9,9,4,0
101.409,35,27,166.421,9,9,4,9,9,4,0
101.409,35,27,166.421,9,9,4,9,9,4,0
101.409,35,27,166.421,9,9,4,9,9,4,0
101.409,35,27,166.421,9,9,4,9,9,4,0
101.409,35,27,166.421,9,9,4,9,9,4,0
101.409,36,27,171.176,10,10,4,10,10,4,0
102.054,51,27,242.499,7,7,4,7,7,4,0
102.054,53,27,252.009,7,7,6,7,7,6,0
102.706,72,27,342.352,16,16,10,16,16,10,0
103.848,48,26,225.621,13,13,6,13,13,6,1
103.848,48,26,225.621,13,14,6,13,14,6,0
106.606,47,28,225.946,12,13,2,12,13,2,0
106.709,36,28,173.065,9,9,4,9,9,4,0
106.709,37,28,177.872,10,10,4,10,10,4,0
106.709,38,28,182.679,11,11,4,11,11,4,0
107.02,41,28,197.102,10,10,5,10,10,5,0
107.02,42,28,201.909,9,9,4,9,9,4,1
107.541,51,28,245.175,7,7,4,7,7,4,0
107.541,52,28,249.982,7,7,4,7,7,4,0
107.748,62,27,294.803,9,9,7,9,9,7,0
111.89,50,28,240.368,9,12,5,9,12,5,0
111.906,43,29,208.893,12,12,3,12,12,3,0
111.906,43,29,208.893,12,12,3,12,12,3,0
112.106,40,29,194.319,12,12,4,12,12,4,0
112.506,55,29,267.189,8,8,6,8,8,6,0
112.506,55,29,267.189,7,7,4,7,7,4,0
113.112,45,29,218.609,7,7,3,7,7,3,0
