HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,1
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,6,6,15.5098,1,1,0,1,1,0,0
10.0,6,6,15.5098,1,1,0,1,1,0,0
100.362,37,26,173.916,10,10,4,10,10,4,1
100.362,43,26,202.119,12,12,5,12,12,5,1
100.362,44,26,206.819,14,15,6,14,15,6,1
100.362,40,26,188.018,9,9,3,9,9,3,0
100.362,84,26,394.837,19,22,8,19,22,8,0
100.362,54,26,253.824,12,14,7,12,14,7,0
100.362,54,26,253.824,11,13,7,11,13,7,1
100.362,43,26,202.119,13,13,10,13,13,10,1
101.623,67,27,318.577,15,15,7,15,15,7,1
101.948,50,26,235.022,13,13,6,13,13,6,0
101.948,42,26,197.418,11,11,5,11,11,5,0
101.948,53,26,249.123,12,13,10,12,13,10,0
101.948,67,26,314.929,13,13,6,13,13,6,1
101.948,60,26,282.026,14,14,7,21,21,8,0
101.948,60,26,282.026,13,13,7,13,13,7,1
102.054,54,27,256.764,16,16,9,16,16,9,0
102.054,53,27,252.009,18,18,6,18,18,6,0
102.054,67,27,318.577,21,21,11,21,21,11,0
102.054,67,27,318.577,18,18,11,18,18,11,1
102.054,67,27,318.577,20,20,9,20,20,9,1
102.706,37,27,175.931,11,11,4,11,11,4,0
102.706,37,27,175.931,9,9,4,9,9,4,1
102.706,49,27,232.989,13,13,7,13,13,7,0
102.706,52,27,247.254,13,13,5,13,13,5,0
103.588,44,27,209.215,9,9,6,9,9,6,0
103.588,52,27,247.254,18,19,9,18,19,9,0
103.588,52,27,247.254,15,15,6,15,15,6,0
103.588,46,27,218.725,10,10,9,10,10,9,0
103.588,54,27,256.764,15,15,7,15,15,7,0
103.588,56,27,266.274,13,13,5,13,13,5,0
103.588,60,27,285.293,20,22,11,20,22,11,1
103.588,60,27,285.293,17,17,5,17,17,5,1
103.588,82,27,389.901,21,26,12,21,26,12,0
103.848,48,26,225.621,16,16,6,16,16,6,0
104.711,47,27,223.48,16,16,4,16,16,4,1
104.711,57,27,271.029,21,21,8,25,25,9,0
104.711,53,27,252.009,13,13,6,13,13,6,0
104.711,57,27,271.029,14,14,5,14,14,5,0
104.711,57,27,271.029,14,14,5,14,14,5,0
104.711,62,27,294.803,10,10,5,10,10,5,1
104.711,60,27,285.293,18,18,6,18,18,6,0
104.711,60,27,285.293,18,18,6,18,18,6,0
106.09,49,27,232.989,8,8,5,8,8,5,1
106.09,61,27,290.048,14,34,6,26,46,10,1
106.09,41,27,194.95,9,9,3,9,9,3,0
106.09,41,27,194.95,9,9,3,9,9,3,0
106.09,41,27,194.95,9,9,3,9,9,3,0
106.09,41,27,194.95,9,9,3,9,9,3,0
106.09,41,27,194.95,9,9,3,9,9,3,0
106.09,41,27,194.95,9,9,3,9,9,3,0
106.09,41,27,194.95,9,9,3,9,9,3,0
106.09,55,27,261.519,13,14,8,13,14,8,1
106.09,49,27,232.989,14,15,6,14,15,6,1
106.09,92,27,437.45,23,23,11,23,23,11,0
106.107,44,26,206.819,14,14,5,14,14,5,0
106.606,53,28,254.79,12,12,5,12,12,5,1
106.606,53,28,254.79,12,12,5,12,12,5,1
106.709,94,28,451.891,22,22,15,22,22,15,0
107.748,45,27,213.97,12,12,6,31,33,12,0
107.748,45,27,213.97,12,12,6,33,34,13,1
107.748,49,27,232.989,15,16,7,15,16,7,0
107.748,57,27,271.029,17,17,7,17,17,7,0
108.278,57,28,274.019,9,9,4,9,9,4,0
108.278,53,28,254.79,14,16,9,14,16,9,0
108.278,54,28,259.597,13,14,7,13,14,7,0
109.24,47,28,225.946,17,17,6,17,17,6,0
109.24,55,28,264.405,13,13,5,57,57,14,0
109.24,48,28,230.753,14,14,3,14,14,3,0
109.24,55,28,264.405,11,12,8,11,12,8,0
109.24,72,28,346.13,18,18,11,18,18,11,0
109.24,72,28,346.13,18,18,11,18,18,11,0
109.717,53,27,252.009,14,14,6,14,14,6,1
11.6096,6,6,15.5098,4,4,1,4,4,1,0
11.6096,6,6,15.5098,4,4,1,4,4,1,0
11.6096,6,6,15.5098,4,4,1,4,4,1,0
11.6096,6,6,15.5098,4,4,1,4,4,1,0
11.6096,6,6,15.5098,4,4,1,4,4,1,0
11.6096,6,6,15.5098,4,4,1,4,4,1,0
