HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,0,4,4,0,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,5,0,4,5,0,0
10.0,6,6,15.5098,4,5,0,4,5,0,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,1
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,5,0,4,5,0,0
10.0,6,6,15.5098,4,5,0,4,5,0,0
10.0,6,6,15.5098,4,5,0,4,5,0,0
10.0,6,6,15.5098,4,5,0,4,5,0,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,4,4,1,4,4,1,0
10.0,6,6,15.5098,1,1,1,1,1,1,0
10.0,7,6,18.0947,4,4,1,4,4,1,0
10.0,7,6,18.0947,4,4,1,4,4,1,0
10.0,7,6,18.0947,4,4,1,4,4,1,0
10.0,7,6,18.0947,4,4,1,4,4,1,1
10.0,7,6,18.0947,4,4,1,4,4,1,0
10.0,7,6,18.0947,4,4,1,4,4,1,0
10.0,8,6,20.6797,5,5,1,5,5,1,0
10.0,8,6,20.6797,5,5,1,5,5,1,0
10.0,8,6,20.6797,4,4,1,4,4,1,1
10.0,8,6,20.6797,4,4,1,4,4,1,0
100.107,48,24,220.078,15,15,5,15,15,5,1
100.239,34,25,157.891,12,12,3,12,12,3,1
100.239,41,25,190.398,13,13,3,13,13,3,1
100.239,45,25,208.974,14,14,3,14,14,3,0
100.239,46,25,213.617,15,20,6,15,20,6,0
100.239,47,25,218.261,16,21,6,16,21,6,1
100.239,39,25,181.11,6,7,3,6,7,3,0
100.239,48,25,222.905,9,10,4,9,10,4,0
100.362,29,26,136.313,9,12,2,9,12,2,0
100.362,36,26,169.216,8,8,3,8,8,3,0
100.362,41,26,192.718,8,8,4,8,8,4,0
100.362,36,26,169.216,13,14,5,13,14,5,0
100.362,37,26,173.916,7,12,3,7,12,3,1
100.362,38,26,178.617,8,8,2,29,29,8,0
100.362,41,26,192.718,7,8,3,13,14,4,1
100.362,39,26,183.317,10,10,4,10,10,4,0
100.362,39,26,183.317,16,16,5,16,16,5,0
100.362,36,26,169.216,10,10,4,10,10,4,0
100.362,37,26,173.916,14,15,5,14,15,5,1
100.362,38,26,178.617,14,14,4,14,14,4,1
100.362,39,26,183.317,14,14,5,14,14,5,0
100.362,53,26,249.123,11,12,5,11,12,5,0
100.362,40,26,188.018,14,14,5,14,14,5,0
100.362,42,26,197.418,12,12,5,12,12,5,0
100.362,43,26,202.119,10,10,5,10,10,5,0
