HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,7,6,18.0947,1,1,0,1,1,0,0
10.0,7,6,18.0947,1,1,0,1,1,0,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
100.362,36,26,169.216,9,9,4,9,9,4,0
100.362,45,26,211.52,8,8,5,8,8,5,0
100.362,45,26,211.52,8,8,5,8,8,5,0
100.362,45,26,211.52,8,8,5,8,8,5,0
100.362,45,26,211.52,8,8,5,8,8,5,0
100.362,45,26,211.52,8,8,5,8,8,5,0
100.362,45,26,211.52,8,8,5,8,8,5,0
100.362,45,26,211.52,8,8,5,8,8,5,0
101.409,82,27,389.901,11,11,7,11,11,7,0
101.623,46,27,218.725,6,6,3,6,6,3,0
101.623,69,27,328.087,15,15,7,15,15,7,0
101.623,69,27,328.087,15,15,7,15,15,7,0
101.623,75,27,356.617,12,12,8,12,12,8,0
101.948,39,26,183.317,8,8,4,8,8,4,0
101.948,39,26,183.317,5,5,3,5,5,3,0
101.948,39,26,183.317,5,5,3,5,5,3,0
102.862,41,25,190.398,7,7,4,7,7,4,0
102.862,41,25,190.398,7,7,4,7,7,4,0
102.862,41,25,190.398,7,7,4,7,7,4,0
102.862,41,25,190.398,7,7,4,7,7,4,0
103.588,39,27,185.441,9,9,3,9,9,3,0
103.588,39,27,185.441,9,9,3,9,9,3,0
103.588,39,27,185.441,10,10,5,10,10,5,0
103.588,40,27,190.195,7,7,6,7,7,6,0
103.848,64,26,300.828,8,8,6,8,8,6,0
103.848,64,26,300.828,8,8,6,8,8,6,0
104.711,53,27,252.009,8,8,6,8,8,6,0
104.711,53,27,252.009,8,8,6,8,8,6,0
104.711,53,27,252.009,8,8,6,8,8,6,0
106.09,65,27,309.068,9,10,7,9,10,7,0
106.107,45,26,211.52,7,7,4,7,7,4,0
106.709,42,28,201.909,9,9,4,9,9,4,0
107.02,53,28,254.79,10,10,3,10,10,3,0
107.02,47,28,225.946,8,8,1,8,8,1,0
107.748,39,27,185.441,11,11,5,11,11,5,0
107.748,42,27,199.705,5,5,3,5,5,3,0
109.24,43,28,206.716,12,14,4,12,14,4,1
109.717,48,27,228.235,7,7,3,7,7,3,0
110.439,45,28,216.331,9,9,7,9,9,7,0
111.906,50,29,242.899,9,9,4,9,9,4,0
111.906,50,29,242.899,9,9,4,9,9,4,0
112.106,55,29,267.189,11,11,6,11,11,6,0
112.506,86,29,417.786,15,15,12,15,15,12,0
112.506,86,29,417.786,15,15,12,15,15,12,0
113.112,50,29,242.899,8,8,5,8,8,5,0
113.112,50,29,242.899,8,8,5,8,8,5,0
113.617,91,28,437.469,17,18,5,52,55,34,0
113.93,54,29,262.331,9,9,6,9,9,6,0
113.93,53,29,257.473,12,12,4,12,12,4,0
114.968,72,29,349.775,18,18,11,18,18,11,0
115.652,46,28,221.138,10,10,5,18,18,8,0
115.652,53,28,254.79,8,8,5,8,8,5,0
115.652,52,28,249.982,8,8,5,8,8,5,0
116.239,70,29,340.059,10,11,8,10,11,8,0
117.207,76,30,372.924,16,16,10,16,16,10,0
117.303,52,30,255.158,15,15,6,15,15,6,0
117.593,39,30,191.369,12,13,3,12,13,3,0
117.759,52,29,252.615,8,8,3,8,8,3,0
118.078,38,30,186.462,11,11,2,11,11,2,0
118.764,38,30,186.462,10,11,2,10,11,2,0
118.764,55,30,269.879,9,9,6,9,9,6,0
119.658,56,30,274.786,13,13,5,13,13,5,0
12.7549,7,7,19.6515,3,3,1,3,3,1,0
120.768,74,30,363.11,18,18,11,18,18,11,1
120.768,57,30,279.693,9,9,5,9,9,5,0
120.768,57,30,279.693,9,9,8,9,9,8,0
120.768,59,30,289.507,9,9,8,9,9,8,0
120.768,62,30,304.227,11,11,9,11,11,9,0
122.107,53,30,260.065,8,8,3,8,8,3,0
122.603,63,31,312.114,10,10,6,10,10,6,0
122.603,73,31,361.656,11,11,6,11,11,6,0
122.79,53,31,262.572,15,16,6,15,16,6,0
123.164,88,31,435.969,14,14,10,14,14,10,1
123.164,78,31,386.427,11,11,7,11,11,7,0
123.164,67,31,331.931,18,19,9,18,19,9,1
123.693,48,30,235.531,12,12,5,12,12,5,0
123.693,54,30,264.972,8,8,5,8,8,5,0
125.458,63,31,312.114,14,15,9,14,15,9,0
125.549,60,30,294.413,10,10,7,10,10,7,0
126.637,67,31,331.931,10,10,8,10,10,8,0
128.0,76,32,380.0,10,10,3,10,10,3,0
128.042,61,31,302.206,9,9,8,9,9,8,0
128.816,40,32,200.0,11,12,2,11,12,2,0
128.816,53,32,265.0,13,13,4,13,13,4,1
128.816,58,32,290.0,15,15,8,15,15,8,0
129.458,59,32,295.0,15,15,8,15,15,8,0
129.458,71,32,355.0,16,17,11,16,17,11,0
129.691,49,31,242.756,14,16,6,18,20,7,0
129.691,53,31,262.572,13,13,7,13,13,7,0
129.691,61,31,302.206,10,12,6,10,12,6,0
129.691,69,31,341.84,13,13,9,13,13,9,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,3,3,1,3,3,1,0
13.6096,7,7,19.6515,3,3,1,3,3,1,0
13.6096,7,7,19.6515,3,3,1,3,3,1,0
13.6096,7,7,19.6515,3,3,1,3,3,1,0
13.6096,8,7,22.4588,3,3,1,3,3,1,0
13.6096,8,7,22.4588,3,3,1,3,3,1,0
13.6096,8,7,22.4588,3,3,1,3,3,1,0
13.6096,8,7,22.4588,3,3,1,3,3,1,0
13.6096,8,7,22.4588,3,3,1,3,3,1,0
130.292,105,32,525.0,15,19,9,27,31,12,0
131.327,61,32,305.0,8,8,6,8,8,6,0
132.571,58,32,290.0,8,8,7,8,8,7,0
132.571,66,32,330.0,14,18,7,14,18,7,0
132.571,66,32,330.0,14,18,7,14,18,7,0
133.662,42,33,211.865,12,14,3,12,14,3,0
133.662,72,33,363.196,15,15,11,15,15,11,0
133.662,73,33,368.241,16,16,14,16,16,14,0
134.039,64,32,320.0,9,9,8,9,9,8,0
134.544,60,33,302.664,18,18,8,18,18,8,0
136.161,105,33,529.661,15,19,9,27,31,12,1
136.161,82,33,413.64,13,13,12,13,13,12,0
137.261,77,33,388.418,21,24,13,21,24,13,0
139.059,59,34,300.16,16,16,7,16,16,7,1
140.344,114,34,579.971,16,16,10,16,16,10,1
140.344,71,34,361.21,15,15,4,15,15,4,0
141.127,77,34,391.735,13,13,11,13,13,11,1
141.127,113,34,574.883,16,16,10,16,16,10,0
141.863,55,33,277.442,12,12,7,12,12,7,0
143.258,83,34,422.259,21,24,13,21,24,13,1
144.546,76,35,389.826,12,12,8,12,12,8,0
144.711,68,35,348.791,13,13,5,13,13,5,0
145.542,58,35,297.498,12,14,5,12,14,5,0
145.542,77,35,394.955,15,15,4,15,15,4,1
148.093,75,35,384.696,11,12,6,11,12,6,0
150.197,68,36,351.555,13,13,5,13,13,5,0
150.197,71,36,367.065,13,13,5,13,13,5,1
150.439,66,36,341.215,13,15,6,13,15,6,0
150.439,72,36,372.235,15,17,8,15,17,8,1
150.741,61,35,312.886,14,14,8,14,14,8,0
150.842,85,36,439.444,17,17,13,17,17,13,0
150.842,81,36,418.764,20,21,11,20,21,11,0
151.41,79,36,408.424,13,13,11,13,13,11,0
151.41,85,36,439.444,17,17,15,17,17,15,0
151.41,86,36,444.614,17,17,15,17,17,15,0
151.41,86,36,444.614,17,17,15,17,17,15,0
152.382,89,35,456.506,11,11,7,11,11,7,0
152.382,89,35,456.506,11,11,7,11,11,7,0
154.257,103,35,528.316,16,18,8,38,40,19,0
154.257,103,35,528.316,16,18,8,38,40,19,0
154.257,103,35,528.316,16,18,8,38,40,19,0
155.769,71,37,369.871,13,13,5,13,13,5,1
155.925,64,37,333.405,10,10,6,10,10,6,0
157.345,80,37,416.756,10,10,5,10,10,5,0
159.116,88,37,458.432,12,12,5,12,12,5,0
159.116,88,37,458.432,12,12,5,12,12,5,0
160.265,104,37,541.783,18,20,12,18,20,12,0
161.497,62,38,325.372,18,18,6,18,18,6,0
161.497,62,38,325.372,18,18,6,18,18,6,0
161.601,75,37,390.709,13,13,8,13,13,8,0
161.601,83,37,432.385,17,20,8,17,20,8,0
161.726,68,38,356.859,10,10,6,10,10,6,0
161.726,68,38,356.859,10,10,6,10,10,6,0
163.342,83,38,435.578,12,14,7,12,14,7,0
163.342,115,38,603.512,17,17,17,17,17,17,0
164.881,67,37,349.033,9,9,7,9,9,7,0
165.231,95,38,498.553,14,14,11,14,14,11,0
165.231,95,38,498.553,14,14,11,14,14,11,0
167.825,66,38,346.363,11,11,6,11,11,6,0
168.642,80,39,422.832,16,16,10,16,16,10,0
169.411,68,38,356.859,9,9,7,9,9,7,0
169.411,79,38,414.586,14,15,6,14,15,6,0
17.5098,8,8,24.0,4,4,1,4,4,1,0
17.5098,8,8,24.0,4,4,1,4,4,1,0
172.66,72,39,380.549,13,13,10,13,13,10,0
172.66,87,39,459.83,16,17,11,16,17,11,0
172.877,107,40,569.446,14,15,9,14,15,9,0
174.039,85,40,452.364,15,20,10,15,20,10,0
174.101,96,39,507.399,17,17,11,17,17,11,0
174.7,94,40,500.261,12,15,10,12,15,10,0
174.7,118,40,627.987,15,16,7,15,16,7,0
176.488,65,40,345.925,14,22,6,14,22,6,0
177.625,75,40,399.145,14,16,8,14,16,8,0
178.935,75,40,399.145,13,13,10,13,13,10,1
180.426,78,40,415.11,15,18,8,29,32,15,0
181.685,72,41,385.744,15,23,7,15,23,7,0
182.712,61,41,326.811,14,15,7,14,15,7,0
183.901,83,41,444.677,14,14,7,14,14,7,0
184.477,89,42,479.916,23,23,10,23,23,10,0
184.477,91,42,490.701,23,23,10,23,23,10,0
185.583,70,42,377.462,10,10,6,10,10,6,0
185.583,72,42,388.247,10,10,6,10,10,6,0
185.583,72,42,388.247,10,10,6,10,10,6,0
188.529,76,41,407.174,16,16,10,16,16,10,0
190.226,85,42,458.347,23,23,11,23,23,11,0
190.48,113,43,613.168,15,15,13,15,15,13,0
191.155,91,43,493.79,16,23,11,16,23,11,0
191.634,115,42,620.117,18,20,12,18,20,12,0
191.634,115,42,620.117,18,20,12,18,20,12,0
191.698,86,43,466.659,11,11,8,11,11,8,0
194.184,69,43,374.412,11,11,8,11,11,8,0
194.184,69,43,374.412,11,11,8,11,11,8,0
194.184,69,43,374.412,11,11,8,11,11,8,0
194.184,108,43,586.037,22,22,15,22,22,15,0
195.312,67,43,363.56,16,16,8,16,16,8,0
195.312,99,43,537.2,15,15,12,15,15,12,0
195.312,113,43,613.168,28,38,16,28,38,16,0
196.478,121,44,660.591,15,15,13,15,15,13,0
196.478,121,44,660.591,15,18,13,15,18,13,0
198.606,86,44,469.511,11,12,8,11,12,8,0
20.2647,9,9,28.5293,3,4,0,3,4,0,0
20.2647,9,9,28.5293,3,4,0,3,4,0,0
200.51,68,44,371.241,17,17,8,17,17,8,0
200.51,67,44,365.782,15,15,8,15,15,8,1
200.51,114,44,622.375,17,17,9,17,17,9,0
200.51,100,44,545.943,15,15,12,15,15,12,0
202.149,101,45,554.677,15,15,12,15,15,12,0
202.535,87,45,477.791,13,14,9,13,14,9,0
203.02,97,44,529.565,15,15,10,15,15,10,0
203.525,89,43,482.938,13,14,10,13,14,10,0
203.525,89,43,482.938,13,14,10,13,14,10,0
204.519,108,44,589.619,17,17,12,17,17,12,0
205.81,110,45,604.104,19,20,16,19,20,16,0
205.81,149,45,818.286,32,40,20,32,40,20,0
208.65,127,46,701.492,20,20,13,20,20,13,0
208.65,91,46,502.644,13,14,9,13,14,9,0
208.65,91,46,502.644,13,14,9,13,14,9,0
208.65,128,46,707.016,20,20,18,20,20,18,1
209.485,114,45,626.071,12,12,8,12,12,8,0
21.6515,9,9,28.5293,3,3,1,3,3,1,0
21.6515,9,9,28.5293,3,3,1,3,3,1,0
21.6515,9,9,28.5293,3,3,1,3,3,1,0
21.6515,10,9,31.6992,3,3,1,3,3,1,0
21.6515,10,9,31.6992,3,3,1,3,3,1,0
210.117,99,44,540.484,14,14,8,14,14,8,0
210.117,99,44,540.484,14,14,8,14,14,8,0
210.117,99,44,540.484,14,14,8,14,14,8,0
214.571,95,46,524.738,26,27,13,26,27,13,0
215.94,149,47,827.634,32,33,18,32,33,18,0
217.58,108,47,599.896,17,18,14,17,18,14,0
217.58,110,47,611.005,19,26,12,19,26,12,0
219.768,102,47,566.568,27,28,13,27,28,13,0
219.768,102,47,566.568,27,28,13,27,28,13,0
220.319,101,48,564.081,13,13,9,13,13,9,0
221.044,135,48,753.97,21,22,14,21,22,14,0
221.079,103,47,572.123,15,15,12,15,15,12,0
224.0,119,48,664.611,24,24,16,24,24,16,0
226.253,126,49,707.453,16,17,14,16,17,14,0
226.277,104,48,580.836,15,15,12,15,15,12,0
227.631,108,48,603.176,16,17,12,16,17,12,0
229.137,99,48,552.911,17,17,11,17,17,11,0
230.465,125,49,701.839,21,21,11,21,21,11,0
232.193,170,50,959.456,30,32,23,30,32,23,0
232.828,94,49,527.783,18,22,11,18,22,11,0
236.974,125,50,705.482,21,21,11,21,21,11,1
238.421,134,51,760.105,21,26,20,21,26,20,0
238.648,139,51,788.467,27,38,19,27,38,19,0
239.445,133,51,754.433,28,37,18,28,37,18,0
24.4064,12,10,39.8631,3,3,1,3,3,1,0
24.4064,12,10,39.8631,3,3,1,3,3,1,0
24.4064,12,10,39.8631,3,3,1,3,3,1,0
242.461,176,51,998.347,33,42,24,33,42,24,0
244.478,114,52,649.85,15,15,11,15,15,11,0
248.032,113,52,644.15,30,31,15,30,31,15,0
250.117,109,52,621.348,23,25,12,23,25,12,0
250.593,130,53,744.63,16,16,7,16,16,7,0
250.593,130,53,744.63,16,16,7,16,16,7,0
250.593,130,53,744.63,16,16,7,16,16,7,0
251.353,121,52,689.753,18,25,14,18,25,14,0
251.353,140,52,798.062,18,23,16,18,23,16,0
252.239,121,53,693.078,12,14,10,12,14,10,0
252.239,121,53,693.078,12,14,10,12,14,10,0
254.584,174,53,996.658,26,28,23,26,28,23,0
258.107,110,54,633.038,24,25,13,24,25,13,0
259.412,178,54,1024.37,29,33,20,29,33,20,0
26.0,10,10,33.2193,4,4,1,4,4,1,0
26.0,10,10,33.2193,4,4,1,4,4,1,0
26.0,10,10,33.2193,4,4,1,4,4,1,0
26.0,10,10,33.2193,3,3,1,3,3,1,0
