HCPL,HPL,HPV,HVOL,LLOC,LOC,NOS,TLLOC,TLOC,TNOS,Number of Bugs
10.0,6,6,15.5098,5,5,1,5,5,1,0
10.0,6,6,15.5098,3,3,1,3,3,1,0
10.0,8,6,20.6797,5,5,2,5,5,2,0
10.0,8,6,20.6797,4,4,2,4,4,2,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
10.0,7,6,18.0947,3,3,1,3,3,1,0
100.362,40,26,188.018,8,8,6,8,8,6,0
100.362,45,26,211.52,10,13,7,10,13,7,0
100.362,51,26,239.722,12,12,8,12,12,8,1
101.409,35,27,166.421,6,7,5,6,7,5,0
101.409,35,27,166.421,6,7,5,6,7,5,0
101.948,38,26,178.617,6,6,3,6,6,3,0
101.948,49,26,230.322,8,8,3,8,8,3,1
101.948,49,26,230.322,8,8,3,8,8,3,0
103.848,53,26,249.123,15,15,8,19,19,9,0
106.09,36,27,171.176,3,3,1,3,3,1,0
106.09,43,27,204.46,8,8,5,8,8,5,0
106.606,39,28,187.487,7,8,6,7,8,6,0
106.709,57,28,274.019,10,11,7,10,11,7,0
108.278,117,28,562.461,19,20,16,19,20,16,1
11.6096,6,6,15.5098,9,9,1,9,9,1,0
11.6096,6,6,15.5098,9,9,1,9,9,1,0
11.6096,6,6,15.5098,5,5,1,5,5,1,0
11.6096,6,6,15.5098,4,4,1,4,4,1,0
11.6096,6,6,15.5098,4,4,1,4,4,1,0
11.6096,7,6,18.0947,5,5,2,5,5,2,0
110.439,43,28,206.716,7,7,6,7,7,6,0
110.439,40,28,192.294,6,6,4,6,6,4,0
111.89,43,28,206.716,10,10,5,10,10,5,0
111.906,65,29,315.769,22,31,15,60,75,26,0
111.906,65,29,315.769,22,31,15,55,69,25,0
111.906,66,29,320.627,22,31,15,55,69,25,0
113.112,50,29,242.899,7,7,5,7,7,5,0
114.968,121,29,587.816,40,43,30,40,43,30,1
115.652,60,28,288.441,17,17,11,17,17,11,0
116.239,51,29,247.757,9,9,5,9,9,5,1
116.239,122,29,592.674,31,31,20,31,31,20,0
117.759,57,29,276.905,10,10,5,10,10,5,1
118.039,60,28,288.441,10,10,6,10,10,6,0
118.764,58,30,284.6,12,13,10,12,13,10,0
118.764,58,30,284.6,12,13,10,12,13,10,0
119.552,44,29,213.751,7,7,4,7,7,4,0
120.768,58,30,284.6,7,7,4,7,7,4,0
120.768,58,30,284.6,7,7,4,7,7,4,0
121.649,65,29,315.769,12,14,7,12,14,7,1
122.603,101,31,500.374,16,18,15,16,18,15,0
122.79,68,31,336.885,20,24,13,20,24,13,0
123.164,52,31,257.618,8,9,5,8,9,5,0
123.164,67,31,331.931,11,11,8,11,11,8,1
123.693,54,30,264.972,9,9,5,9,9,5,0
124.492,80,31,396.336,19,23,14,19,23,14,0
125.549,48,30,235.531,15,16,9,15,16,9,0
125.549,54,30,264.972,6,6,6,6,6,6,1
125.549,107,30,525.037,17,17,13,17,17,13,0
126.637,50,31,247.71,6,6,5,6,6,5,0
126.637,50,31,247.71,6,6,5,6,6,5,0
126.637,57,31,282.389,10,11,7,10,11,7,0
128.042,42,31,208.076,6,6,4,6,6,4,0
129.691,51,31,252.664,8,8,5,8,8,5,0
129.691,50,31,247.71,7,7,7,7,7,7,1
129.691,69,31,341.84,15,15,11,15,15,11,1
129.691,97,31,480.557,27,31,23,27,31,23,0
13.6096,7,7,19.6515,5,5,1,5,5,1,0
13.6096,7,7,19.6515,5,5,1,5,5,1,0
13.6096,7,7,19.6515,5,5,1,5,5,1,0
13.6096,7,7,19.6515,5,5,1,5,5,1,0
13.6096,7,7,19.6515,5,5,1,5,5,1,0
13.6096,7,7,19.6515,5,5,1,5,5,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
13.6096,7,7,19.6515,4,4,1,4,4,1,0
